일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2016-11-01,8,22,44,96,3
2016-11-02,3,26,60,80,4
2016-11-03,10,30,40,84,3
2016-11-04,8,26,41,91,2
2016-11-05,4,40,48,82,1
2016-11-06,10,34,58,86,5
2016-11-07,11,33,45,91,3
2016-11-08,8,30,41,78,1
2016-11-09,7,26,34,73,1
2016-11-10,13,31,35,75,2
2016-11-11,5,21,41,74,7
2016-11-12,3,19,43,86,3
2016-11-13,5,33,29,72,3
2016-11-14,5,35,50,83,3
2016-11-15,7,45,43,84,2
2016-11-16,12,30,38,72,3
2016-11-17,11,22,44,92,1
2016-11-18,10,33,43,67,1
2016-11-19,10,27,34,93,2
2016-11-20,9,22,48,84,1
2016-11-21,8,30,50,89,3
2016-11-22,9,33,56,83,3
2016-11-23,7,29,50,85,2
2016-11-24,8,29,49,78,1
2016-11-25,7,25,37,72,1
2016-11-26,13,28,38,90,1
2016-11-27,5,26,36,85,2
2016-11-28,11,30,54,60,1
2016-11-29,10,34,44,89,2
2016-11-30,9,29,50,100,3
