일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2016-08-01,9,27,40,84,4
2016-08-02,6,23,43,100,5
2016-08-03,5,30,36,94,4
2016-08-04,5,28,46,78,2
2016-08-05,4,28,43,81,2
2016-08-06,11,29,35,83,2
2016-08-07,6,22,34,94,3
2016-08-08,7,25,44,71,2
2016-08-09,5,23,36,83,1
2016-08-10,9,29,38,81,5
2016-08-11,8,26,38,75,1
2016-08-12,8,24,32,69,1
2016-08-13,5,24,32,72,2
2016-08-14,3,18,28,90,1
2016-08-15,8,25,30,81,1
2016-08-16,4,33,49,73,4
2016-08-17,6,26,34,65,2
2016-08-18,14,27,33,73,1
2016-08-19,6,21,41,73,2
2016-08-20,11,28,30,83,4
2016-08-21,8,19,39,75,4
2016-08-22,18,29,45,71,2
2016-08-23,11,33,43,74,2
2016-08-24,12,30,42,70,4
2016-08-25,10,31,35,96,2
2016-08-26,8,21,46,72,1
2016-08-27,7,23,33,84,2
2016-08-28,9,34,50,83,4
2016-08-29,11,22,54,79,3
2016-08-30,6,27,58,92,4
