일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2016-09-01,9,26,44,79,3
2016-09-02,8,30,44,71,3
2016-09-03,8,29,40,75,2
2016-09-04,6,22,42,66,2
2016-09-05,6,33,42,93,2
2016-09-06,10,28,43,72,3
2016-09-07,9,23,48,100,6
2016-09-08,7,30,35,91,2
2016-09-09,5,30,48,91,1
2016-09-10,7,28,46,96,6
2016-09-11,4,33,44,95,3
2016-09-12,10,27,42,80,1
2016-09-13,7,31,40,83,3
2016-09-14,7,29,47,91,1
2016-09-15,7,20,41,79,2
2016-09-16,5,20,42,78,3
2016-09-17,5,29,37,83,1
2016-09-18,6,33,45,85,3
2016-09-19,8,21,47,73,2
2016-09-20,10,29,53,73,4
2016-09-21,9,23,57,88,2
2016-09-22,8,21,41,76,1
2016-09-23,11,30,40,74,3
2016-09-24,7,19,45,80,4
2016-09-25,6,22,53,82,3
2016-09-26,7,21,47,69,3
2016-09-27,7,23,37,80,4
2016-09-28,4,29,37,77,2
2016-09-29,8,26,40,64,5
2016-09-30,8,24,31,62,1
