Date,India,Andhra Pradesh,Arunachal Pradesh,Assam,Chandigarth,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,New Delhi,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttaranchal,West Bengal
2001,0.5,0.483,0.504,0.491,0.636,0.622,0.532,0.552,0.596,0.535,0.522,0.611,0.461,0.562,0.563,0.482,0.577,0.525,0.666,0.728,0.581,0.471,0.552,0.549,0.624,0.532,0.465,0.626,0.507
2002,0.506,0.492,0.508,0.498,0.639,0.631,0.539,0.559,0.605,0.545,0.53,0.625,0.467,0.569,0.568,0.492,0.588,0.53,0.669,0.732,0.587,0.477,0.559,0.558,0.627,0.536,0.471,0.63,0.512
2003,0.52,0.507,0.52,0.511,0.65,0.649,0.553,0.573,0.622,0.562,0.544,0.647,0.48,0.584,0.581,0.508,0.605,0.542,0.68,0.744,0.599,0.49,0.573,0.575,0.638,0.547,0.484,0.641,0.523
2004,0.527,0.516,0.525,0.519,0.654,0.658,0.561,0.579,0.631,0.572,0.553,0.661,0.488,0.591,0.587,0.518,0.616,0.547,0.683,0.747,0.605,0.497,0.58,0.585,0.642,0.552,0.491,0.645,0.529
2005,0.536,0.528,0.532,0.528,0.66,0.671,0.571,0.589,0.643,0.586,0.564,0.679,0.497,0.601,0.596,0.53,0.629,0.555,0.69,0.754,0.614,0.507,0.59,0.598,0.648,0.559,0.5,0.652,0.537
2006,0.545,0.539,0.538,0.537,0.665,0.683,0.581,0.598,0.655,0.597,0.573,0.695,0.506,0.61,0.604,0.542,0.642,0.562,0.695,0.76,0.621,0.515,0.598,0.61,0.653,0.565,0.509,0.657,0.543
2007,0.554,0.55,0.566,0.544,0.661,0.698,0.587,0.607,0.658,0.609,0.582,0.701,0.514,0.62,0.624,0.562,0.653,0.588,0.7,0.756,0.631,0.523,0.608,0.62,0.649,0.577,0.515,0.653,0.551
2008,0.563,0.559,0.592,0.551,0.657,0.712,0.593,0.617,0.661,0.62,0.59,0.706,0.521,0.628,0.644,0.582,0.665,0.612,0.704,0.752,0.64,0.531,0.617,0.629,0.645,0.587,0.521,0.648,0.558
2009,0.568,0.565,0.613,0.555,0.648,0.721,0.596,0.622,0.66,0.627,0.594,0.707,0.525,0.633,0.66,0.597,0.672,0.633,0.703,0.743,0.645,0.535,0.622,0.634,0.637,0.594,0.524,0.639,0.562
2010,0.579,0.578,0.639,0.564,0.648,0.737,0.604,0.633,0.666,0.64,0.604,0.716,0.535,0.644,0.681,0.619,0.686,0.66,0.709,0.742,0.656,0.546,0.632,0.646,0.636,0.607,0.532,0.638,0.571
2011,0.587,0.587,0.662,0.57,0.643,0.749,0.609,0.641,0.669,0.65,0.611,0.719,0.542,0.651,0.697,0.636,0.694,0.681,0.71,0.737,0.664,0.554,0.64,0.655,0.632,0.617,0.537,0.634,0.577
2012,0.596,0.597,0.685,0.578,0.64,0.762,0.616,0.65,0.672,0.66,0.619,0.725,0.549,0.659,0.717,0.654,0.706,0.705,0.713,0.734,0.672,0.561,0.647,0.664,0.629,0.627,0.543,0.631,0.584
2013,0.605,0.606,0.677,0.584,0.671,0.76,0.627,0.661,0.682,0.664,0.631,0.736,0.559,0.666,0.709,0.652,0.703,0.697,0.719,0.733,0.682,0.574,0.661,0.672,0.635,0.632,0.553,0.641,0.595
2014,0.616,0.618,0.67,0.59,0.703,0.758,0.639,0.674,0.694,0.67,0.646,0.748,0.571,0.673,0.702,0.65,0.7,0.688,0.725,0.732,0.693,0.589,0.677,0.681,0.643,0.638,0.564,0.652,0.607
2015,0.624,0.627,0.66,0.595,0.732,0.753,0.649,0.684,0.702,0.672,0.657,0.757,0.581,0.678,0.692,0.646,0.695,0.677,0.728,0.729,0.701,0.602,0.69,0.688,0.649,0.641,0.572,0.661,0.617
2016,0.63,0.633,0.644,0.598,0.758,0.745,0.656,0.691,0.708,0.672,0.667,0.763,0.588,0.68,0.68,0.64,0.688,0.663,0.729,0.722,0.707,0.613,0.7,0.692,0.652,0.642,0.579,0.667,0.625
2017,0.64,0.644,0.655,0.608,0.77,0.756,0.667,0.702,0.719,0.682,0.677,0.775,0.598,0.691,0.691,0.65,0.699,0.673,0.74,0.734,0.718,0.623,0.711,0.703,0.663,0.652,0.589,0.677,0.635
2018,0.643,0.646,0.657,0.61,0.772,0.759,0.669,0.705,0.721,0.685,0.68,0.778,0.6,0.694,0.694,0.652,0.701,0.676,0.743,0.736,0.72,0.625,0.713,0.705,0.665,0.655,0.591,0.68,0.638
2019,0.646,0.649,0.661,0.613,0.776,0.763,0.672,0.708,0.725,0.688,0.683,0.782,0.603,0.697,0.697,0.656,0.704,0.679,0.746,0.74,0.724,0.628,0.717,0.709,0.669,0.658,0.594,0.683,0.641
