Company_Name,Category,Address,Url
C A Hospital,Private hospital,"salem kochi highway, Ernakulam District, Desom PO, Aluva, Kunnumpuram, Kerala 680102, India",https://www.google.co.kr/maps/place/C+A+Hospital/data=!4m5!3m4!1s0x3b080f408317abb9:0x6876686348312bf!8m2!3d10.1289517!4d76.3442744?authuser=0&hl=en&rclk=1
"Little Flower Hospital and Research Centre,Angamaly",Private hospital,"SH 1, Angamaly, Kerala 683572, India","https://www.google.co.kr/maps/place/Little+Flower+Hospital+and+Research+Centre,Angamaly/data=!4m5!3m4!1s0x3b08065e70da5713:0x1687e49736a7d227!8m2!3d10.1910609!4d76.3896219?authuser=0&hl=en&rclk=1"
Believers Church Medical College Hospital,Hospital,"St. Thomas Nagar, Kuttapuzha, Thiruvalla, Kerala 689103, India",https://www.google.co.kr/maps/place/Believers+Church+Medical+College+Hospital/data=!4m5!3m4!1s0x3b06244b0422355f:0xfb2e8088402842cf!8m2!3d9.4167481!4d76.5750611?authuser=0&hl=en&rclk=1
Aswini Hospital Limited,Private hospital,"Karunakaran Nambiar Rd,aswani junction, Patturaikkal, opposite to Big Bazaar, Thrissur, Kerala 680020, India",https://www.google.co.kr/maps/place/Aswini+Hospital+Limited/data=!4m5!3m4!1s0x3ba7ee574bd2ac0d:0x6643970cb3eb2aad!8m2!3d10.534769!4d76.214143?authuser=0&hl=en&rclk=1
Apollo Hospitals,General hospital,"SH 1, Pandalam, Kerala 689501, India",https://www.google.co.kr/maps/place/Apollo+Hospitals/data=!4m5!3m4!1s0x3b061722f3b44d63:0xe91a283afb99bd48!8m2!3d9.2261834!4d76.6782819?authuser=0&hl=en&rclk=1
Renai Medicity Hospital,Private hospital,"Palarivattom Edapally Road Near Palarivattom Metro Station Palarivattom P.O, Kochi, Kerala 682025, India",https://www.google.co.kr/maps/place/Renai+Medicity+Hospital/data=!4m5!3m4!1s0x3b080d0fd2a4228d:0xffc1e2c1b23954bd!8m2!3d10.007744!4d76.30331?authuser=0&hl=en&rclk=1
Sevana Hospital and Research Centre,General hospital,"SH 22, Kalladipatta Post, Pattambi, Kerala 679303, India",https://www.google.co.kr/maps/place/Sevana+Hospital+and+Research+Centre/data=!4m5!3m4!1s0x3ba7c5ca803103db:0x4244a157c2f8b90f!8m2!3d10.8056118!4d76.201363?authuser=0&hl=en&rclk=1
Taluk hospital,General hospital,"near SP Fort Hospital, Prasanthi Nagar, Pazhavangadi, Thiruvananthapuram, Kerala 695023, India",https://www.google.co.kr/maps/place/Taluk+hospital/data=!4m5!3m4!1s0x3b05bb0aeaaaaaab:0x387c12e1ae014bdc!8m2!3d8.4862646!4d76.9408406?authuser=0&hl=en&rclk=1
Kerala Medical College (KERALA),General hospital,"Palakkad - Cherpulassery Rd, Mangode, Kerala 679503, India",https://www.google.co.kr/maps/place/Kerala+Medical+College+(KERALA)/data=!4m5!3m4!1s0x3ba7d0c5d050bb77:0x936c6dfef672735!8m2!3d10.8822993!4d76.3497582?authuser=0&hl=en&rclk=1
Nadakkavil Hospital,Hospital,"Valanchery, Kerala 676552, India",https://www.google.co.kr/maps/place/Nadakkavil+Hospital/data=!4m5!3m4!1s0x3ba7b62e31a203a5:0x58f11ba5d18b5759!8m2!3d10.89348!4d76.074904?authuser=0&hl=en&rclk=1
SK Hospital,General hospital,"Thiruvananthapuram - Neyyar Dam Rd, Edapazhanji, Thiruvananthapuram, Kerala 695006, India",https://www.google.co.kr/maps/place/SK+Hospital/data=!4m5!3m4!1s0x3b05b9f3be189657:0x60ab5f03d2143ad5!8m2!3d8.5055121!4d76.9712901?authuser=0&hl=en&rclk=1
