일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2018-06-01,5,22,31,92,3
2018-06-02,5,26,21,88,1
2018-06-03,5,25,26,85,2
2018-06-04,8,23,28,88,<1
2018-06-05,9,19,29,76,2
2018-06-06,8,24,26,71,3
2018-06-07,8,24,26,85,1
2018-06-08,11,22,28,77,2
2018-06-09,7,21,32,83,2
2018-06-10,7,20,28,89,1
2018-06-11,10,24,23,86,1
2018-06-12,10,22,26,85,1
2018-06-13,14,21,24,78,2
2018-06-14,9,23,27,73,4
2018-06-15,5,19,20,74,1
2018-06-16,10,19,29,81,2
2018-06-17,6,16,34,81,2
2018-06-18,10,21,31,98,3
2018-06-19,11,16,29,87,2
2018-06-20,12,24,30,85,1
2018-06-21,11,19,26,95,2
2018-06-22,12,17,32,88,2
2018-06-23,7,16,26,91,2
2018-06-24,8,19,26,100,2
2018-06-25,10,24,31,93,<1
2018-06-26,8,23,27,85,2
2018-06-27,8,19,25,78,2
2018-06-28,9,23,30,77,1
2018-06-29,8,21,23,82,3
2018-06-30,8,17,26,78,1
2018-07-01,10,20,28,83,3
