일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2018-10-01,10,24,25,89,3
2018-10-02,8,20,27,100,3
2018-10-03,11,25,31,89,3
2018-10-04,9,22,32,83,3
2018-10-05,17,28,34,79,2
2018-10-06,9,27,27,81,3
2018-10-07,13,23,27,85,2
2018-10-08,9,27,25,82,5
2018-10-09,11,21,33,72,3
2018-10-10,15,25,22,74,3
2018-10-11,14,25,24,77,3
2018-10-12,9,24,19,67,2
2018-10-13,10,23,32,76,1
2018-10-14,9,22,28,67,3
2018-10-15,11,23,25,73,3
2018-10-16,9,28,20,77,2
2018-10-17,9,25,22,66,1
2018-10-18,13,25,20,68,1
2018-10-19,9,19,28,78,3
2018-10-20,7,23,22,83,2
2018-10-21,11,21,27,81,3
2018-10-22,13,29,31,84,2
2018-10-23,13,22,29,69,2
2018-10-24,11,22,22,77,4
2018-10-25,10,26,24,71,3
2018-10-26,13,23,27,80,2
2018-10-27,10,18,16,63,2
2018-10-28,11,25,23,70,3
2018-10-29,11,22,21,75,4
2018-10-30,9,22,26,73,3
2018-10-31,12,24,25,74,2
