일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2018-11-01,15,51,27,86,6
2018-11-02,13,27,23,82,6
2018-11-03,13,26,23,78,4
2018-11-04,14,32,24,79,1
2018-11-05,10,24,27,85,2
2018-11-06,8,25,28,86,2
2018-11-07,9,20,23,79,2
2018-11-08,10,29,25,91,5
2018-11-09,9,24,23,85,3
2018-11-10,10,24,25,82,5
2018-11-11,11,21,37,84,4
2018-11-12,13,29,33,92,3
2018-11-13,15,29,29,94,3
2018-11-14,11,27,30,95,4
2018-11-15,13,31,35,80,4
2018-11-16,13,36,30,98,4
2018-11-17,10,28,32,95,3
2018-11-18,9,32,36,98,4
2018-11-19,15,27,36,91,2
2018-11-20,9,29,48,89,3
2018-11-21,14,33,34,88,3
2018-11-22,19,30,40,100,2
2018-11-23,15,25,29,83,6
2018-11-24,11,34,32,98,3
2018-11-25,11,31,30,88,4
2018-11-26,14,31,43,96,2
2018-11-27,16,32,43,97,5
2018-11-28,14,30,39,90,4
2018-11-29,18,32,33,98,3
2018-11-30,13,36,36,98,2
