일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2018-03-01,11,22,29,77,4
2018-03-02,7,27,29,79,2
2018-03-03,10,21,36,89,2
2018-03-04,10,24,32,80,2
2018-03-05,12,27,34,100,2
2018-03-06,9,22,34,83,1
2018-03-07,9,22,33,82,3
2018-03-08,11,26,35,81,2
2018-03-09,9,25,29,81,2
2018-03-10,12,22,33,78,2
2018-03-11,9,29,39,94,4
2018-03-12,10,23,34,84,1
2018-03-13,15,24,34,98,1
2018-03-14,7,23,34,76,4
2018-03-15,13,24,35,87,2
2018-03-16,8,32,33,83,1
2018-03-17,12,26,31,79,3
2018-03-18,10,24,33,86,3
2018-03-19,9,24,34,89,4
2018-03-20,17,21,36,86,3
2018-03-21,14,21,40,89,2
2018-03-22,9,25,39,77,1
2018-03-23,13,24,33,85,2
2018-03-24,9,22,28,91,2
2018-03-25,10,25,36,94,1
2018-03-26,7,22,39,87,1
2018-03-27,11,27,30,82,1
2018-03-28,8,22,35,84,1
2018-03-29,7,22,28,85,2
2018-03-30,15,27,28,79,2
2018-03-31,10,24,27,99,1
