Exchange Rate History Id,Currency Id,Exchange Rate,Modified by ID,Modified Time
zcrm_1920545000000786088,zcrm_1920545000000786086,1.000000000,zcrm_1920545000000097003,2017-04-12 17:35:09
zcrm_1920545000000791078,zcrm_1920545000000791076,0.014925373,zcrm_1920545000000097003,2017-04-12 17:37:17
zcrm_1920545000015806003,zcrm_1920545000015806001,1.000000000,zcrm_1920545000000097003,2019-02-14 15:45:22
zcrm_1920545000017390039,zcrm_1920545000017390037,16.393442623,zcrm_1920545000000097003,2019-04-10 13:06:37
zcrm_1920545000020820024,zcrm_1920545000020820022,1.587301587,zcrm_1920545000000097003,2019-08-15 14:51:24
zcrm_1920545000020919018,zcrm_1920545000020919016,1.000000000,zcrm_1920545000000097003,2019-08-21 14:16:15
zcrm_1920545000038980034,zcrm_1920545000038980032,1.000000000,zcrm_1920545000000097003,2021-06-28 15:08:47
zcrm_1920545000038999006,zcrm_1920545000038999004,1.000000000,zcrm_1920545000000097003,2021-06-28 15:09:43
