일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-01-01,3,21,39,95,1
2017-01-02,11,26,44,94,2
2017-01-03,8,30,43,88,2
2017-01-04,8,28,51,95,3
2017-01-05,9,29,45,99,2
2017-01-06,10,28,40,84,2
2017-01-07,11,20,42,97,3
2017-01-08,12,25,46,98,6
2017-01-09,7,29,50,86,4
2017-01-10,12,26,50,84,1
2017-01-11,9,31,45,81,2
2017-01-12,11,20,43,70,3
2017-01-13,10,31,38,89,2
2017-01-14,4,23,35,93,1
2017-01-15,8,28,39,77,1
2017-01-16,11,31,49,93,2
2017-01-17,12,33,47,77,3
2017-01-18,14,29,39,100,2
2017-01-19,9,27,41,78,2
2017-01-20,15,24,43,72,3
2017-01-21,10,25,43,87,3
2017-01-22,10,26,59,77,3
2017-01-23,9,28,53,80,3
2017-01-24,14,23,38,85,3
2017-01-25,8,22,39,81,3
2017-01-26,12,20,37,90,2
2017-01-27,9,27,45,90,1
2017-01-28,8,28,43,78,1
2017-01-29,16,26,60,75,1
2017-01-30,16,25,37,87,3
2017-01-31,16,22,45,86,3
