일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-11-01,13,27,33,100,3
2017-11-02,13,30,26,79,3
2017-11-03,13,27,37,90,4
2017-11-04,8,26,35,78,4
2017-11-05,7,25,41,91,4
2017-11-06,10,33,37,83,2
2017-11-07,13,28,38,78,1
2017-11-08,8,30,42,96,4
2017-11-09,10,25,48,79,2
2017-11-10,10,27,38,68,3
2017-11-11,10,26,31,87,1
2017-11-12,8,31,37,84,3
2017-11-13,9,29,38,81,3
2017-11-14,10,24,38,80,3
2017-11-15,12,28,39,92,4
2017-11-16,9,29,39,73,3
2017-11-17,9,27,28,76,3
2017-11-18,11,22,36,89,1
2017-11-19,9,28,32,86,1
2017-11-20,7,30,33,72,5
2017-11-21,10,31,34,88,4
2017-11-22,12,41,38,95,3
2017-11-23,9,25,40,77,2
2017-11-24,9,23,33,88,4
2017-11-25,7,27,27,77,3
2017-11-26,7,28,37,75,5
2017-11-27,10,32,32,75,2
2017-11-28,11,25,28,92,1
2017-11-29,9,27,42,78,3
2017-11-30,15,28,36,80,1
