일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-10-01,9,21,33,87,4
2017-10-02,8,34,37,90,3
2017-10-03,12,26,43,84,3
2017-10-04,12,27,33,86,3
2017-10-05,9,23,43,100,3
2017-10-06,11,29,30,78,1
2017-10-07,7,22,29,76,2
2017-10-08,7,26,34,91,2
2017-10-09,9,29,43,80,4
2017-10-10,6,28,36,84,3
2017-10-11,14,30,36,77,4
2017-10-12,9,32,35,77,3
2017-10-13,11,22,31,87,1
2017-10-14,11,26,28,78,3
2017-10-15,4,20,37,82,2
2017-10-16,13,24,24,86,2
2017-10-17,10,29,22,93,1
2017-10-18,9,20,24,75,2
2017-10-19,5,21,26,72,0
2017-10-20,6,28,33,89,1
2017-10-21,13,32,31,85,2
2017-10-22,8,27,34,94,2
2017-10-23,14,30,38,93,2
2017-10-24,8,34,34,89,2
2017-10-25,16,29,35,85,3
2017-10-26,8,31,44,96,2
2017-10-27,13,29,37,87,2
2017-10-28,10,31,33,91,3
2017-10-29,11,27,32,84,3
2017-10-30,12,29,44,90,3
2017-10-31,10,28,43,91,1
