일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-04-01,9,29,40,89,4
2017-04-02,12,27,47,99,2
2017-04-03,9,25,46,91,1
2017-04-04,10,31,38,97,1
2017-04-05,15,28,43,93,5
2017-04-06,14,23,43,98,2
2017-04-07,6,24,50,83,2
2017-04-08,8,21,45,84,3
2017-04-09,11,31,47,99,1
2017-04-10,9,24,47,97,1
2017-04-11,10,25,42,100,1
2017-04-12,10,29,42,82,3
2017-04-13,11,28,37,67,1
2017-04-14,10,27,45,84,2
2017-04-15,8,20,44,83,2
2017-04-16,7,27,35,92,2
2017-04-17,11,26,48,86,1
2017-04-18,9,23,45,96,4
2017-04-19,7,25,55,91,1
2017-04-20,7,31,43,86,2
2017-04-21,12,21,38,93,2
2017-04-22,9,35,44,83,2
2017-04-23,11,20,42,91,2
2017-04-24,13,27,48,88,2
2017-04-25,7,31,39,96,3
2017-04-26,7,28,38,81,1
2017-04-27,11,25,41,91,2
2017-04-28,10,29,36,75,2
2017-04-29,9,23,40,77,1
2017-04-30,8,25,53,84,2
2017-05-01,7,24,47,80,4
