일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-12-01,12,27,32,85,2
2017-12-02,10,26,26,80,2
2017-12-03,8,29,34,92,2
2017-12-04,10,30,33,80,1
2017-12-05,15,30,35,82,2
2017-12-06,10,26,35,83,2
2017-12-07,14,28,31,79,2
2017-12-08,14,27,29,79,5
2017-12-09,10,23,30,77,2
2017-12-10,7,26,31,87,4
2017-12-11,16,22,37,89,3
2017-12-12,14,31,40,100,1
2017-12-13,12,23,33,80,3
2017-12-14,6,25,30,84,3
2017-12-15,10,26,29,74,1
2017-12-16,8,30,26,97,4
2017-12-17,11,25,36,76,4
2017-12-18,8,18,36,74,1
2017-12-19,11,20,32,84,1
2017-12-20,10,29,28,76,2
2017-12-21,13,19,33,83,2
2017-12-22,10,21,26,75,3
2017-12-23,6,25,29,72,4
2017-12-24,10,15,27,81,<1
2017-12-25,8,25,26,88,1
2017-12-26,10,26,27,84,2
2017-12-27,7,25,35,81,2
2017-12-28,14,28,27,85,1
2017-12-29,12,31,23,81,<1
2017-12-30,11,27,29,92,<1
2017-12-31,9,21,20,80,1
