일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-07-01,11,18,28,75,2
2017-07-02,8,16,29,77,1
2017-07-03,6,26,33,89,2
2017-07-04,8,18,35,87,1
2017-07-05,5,24,35,88,2
2017-07-06,7,17,33,75,2
2017-07-07,5,22,34,80,3
2017-07-08,6,23,31,80,0
2017-07-09,7,18,29,71,0
2017-07-10,9,21,37,81,2
2017-07-11,6,31,36,81,<1
2017-07-12,7,23,39,80,2
2017-07-13,9,20,23,77,2
2017-07-14,10,22,29,79,2
2017-07-15,5,18,32,83,2
2017-07-16,8,24,27,75,2
2017-07-17,9,27,37,77,2
2017-07-18,5,19,30,80,3
2017-07-19,11,22,30,83,1
2017-07-20,7,22,30,74,3
2017-07-21,10,18,29,70,3
2017-07-22,10,17,24,84,1
2017-07-23,3,20,24,100,2
2017-07-24,5,22,32,80,3
2017-07-25,8,21,30,88,3
2017-07-26,10,23,28,84,2
2017-07-27,5,22,25,75,3
2017-07-28,6,21,25,85,2
2017-07-29,6,22,24,92,3
2017-07-30,9,22,24,82,2
2017-07-31,8,19,29,88,2
