일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2017-03-01,6,30,45,81,2
2017-03-02,7,28,51,89,2
2017-03-03,7,26,48,94,3
2017-03-04,9,27,40,85,2
2017-03-05,8,35,46,93,2
2017-03-06,10,18,46,83,4
2017-03-07,9,25,46,89,3
2017-03-08,10,26,51,91,3
2017-03-09,11,22,49,85,4
2017-03-10,8,25,44,85,6
2017-03-11,8,25,44,68,2
2017-03-12,8,24,40,100,3
2017-03-13,10,30,50,86,5
2017-03-14,10,26,47,74,3
2017-03-15,9,23,53,93,3
2017-03-16,9,33,44,85,2
2017-03-17,8,29,47,83,4
2017-03-18,8,31,45,86,3
2017-03-19,13,26,45,88,2
2017-03-20,13,28,41,89,4
2017-03-21,9,27,45,88,2
2017-03-22,14,30,53,96,4
2017-03-23,13,27,44,84,3
2017-03-24,9,26,42,82,3
2017-03-25,8,21,36,88,3
2017-03-26,8,24,43,86,1
2017-03-27,10,22,48,83,2
2017-03-28,11,33,42,100,2
2017-03-29,11,30,43,88,4
2017-03-30,6,33,49,91,3
2017-03-31,8,30,37,82,2
