일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2021-07-01,16,31,49,94,9
2021-07-02,16,30,54,82,5
2021-07-03,15,33,49,94,6
2021-07-04,15,37,50,88,9
2021-07-05,17,33,52,92,7
2021-07-06,16,30,47,87,4
2021-07-07,17,42,53,90,8
2021-07-08,12,34,49,91,9
2021-07-09,12,36,48,85,7
2021-07-10,15,33,45,92,6
2021-07-11,11,31,49,97,7
2021-07-12,16,34,42,100,8
2021-07-13,17,38,46,99,6
2021-07-14,16,40,44,87,8
2021-07-15,11,35,46,89,10
2021-07-16,15,37,45,75,6
2021-07-17,16,30,43,96,8
2021-07-18,11,32,42,85,9
2021-07-19,14,36,47,86,7
2021-07-20,13,32,39,85,8
2021-07-21,13,36,43,91,4
2021-07-22,17,35,38,75,8
2021-07-23,12,29,44,88,7
2021-07-24,16,36,37,90,3
2021-07-25,14,29,41,84,12
2021-07-26,15,37,48,85,6
2021-07-27,13,31,43,91,5
2021-07-28,16,39,40,81,9
2021-07-29,14,38,46,88,8
2021-07-30,10,37,40,90,8
2021-07-31,15,31,35,83,8
