일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2021-06-01,17,31,48,69,5
2021-06-02,21,29,60,64,6
2021-06-03,13,35,48,65,6
2021-06-04,18,33,52,70,4
2021-06-05,13,33,49,78,5
2021-06-06,15,39,53,76,6
2021-06-07,22,35,56,81,6
2021-06-08,21,35,46,74,6
2021-06-09,16,31,48,80,6
2021-06-10,16,31,46,77,6
2021-06-11,18,31,52,82,5
2021-06-12,17,30,49,79,8
2021-06-13,14,31,54,95,8
2021-06-14,14,33,49,84,10
2021-06-15,14,34,49,82,7
2021-06-16,16,39,50,84,7
2021-06-17,20,32,45,87,5
2021-06-18,12,36,48,71,5
2021-06-19,16,28,37,75,8
2021-06-20,18,37,46,80,11
2021-06-21,17,30,44,75,6
2021-06-22,15,33,47,75,7
2021-06-23,12,24,39,81,5
2021-06-24,14,39,45,85,6
2021-06-25,17,34,46,91,7
2021-06-26,20,31,47,80,7
2021-06-27,15,34,48,84,7
2021-06-28,10,34,50,100,9
2021-06-29,17,31,44,88,6
2021-06-30,17,26,42,91,8
2021-07-01,14,36,41,90,5
