일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2021-03-01,16,37,52,98,9
2021-03-02,15,35,53,96,4
2021-03-03,17,35,41,91,6
2021-03-04,15,33,46,76,8
2021-03-05,14,33,47,84,7
2021-03-06,13,32,45,86,5
2021-03-07,13,32,42,87,7
2021-03-08,14,32,38,88,8
2021-03-09,18,40,49,95,7
2021-03-10,16,29,47,98,5
2021-03-11,14,26,39,88,4
2021-03-12,12,33,38,82,8
2021-03-13,17,46,43,100,6
2021-03-14,16,35,47,91,9
2021-03-15,17,34,50,82,8
2021-03-16,17,38,45,99,7
2021-03-17,17,35,48,100,7
2021-03-18,15,31,42,85,9
2021-03-19,12,43,37,93,6
2021-03-20,15,31,40,93,5
2021-03-21,19,42,48,87,7
2021-03-22,16,35,43,94,8
2021-03-23,17,33,40,83,6
2021-03-24,16,38,39,91,7
2021-03-25,16,36,42,80,6
2021-03-26,13,35,36,83,5
2021-03-27,14,30,42,84,5
2021-03-28,11,24,33,82,8
2021-03-29,15,38,44,95,4
2021-03-30,18,32,41,88,5
2021-03-31,15,35,40,87,5
