일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2021-02-01,17,41,43,96,9
2021-02-02,15,33,46,96,5
2021-02-03,15,33,45,92,8
2021-02-04,14,34,48,81,8
2021-02-05,10,34,42,85,6
2021-02-06,13,34,39,81,5
2021-02-07,12,30,46,83,8
2021-02-08,16,25,42,91,8
2021-02-09,13,27,44,89,6
2021-02-10,16,37,44,90,5
2021-02-11,14,35,39,85,7
2021-02-12,14,36,42,96,7
2021-02-13,15,29,39,88,6
2021-02-14,11,31,37,83,7
2021-02-15,16,29,39,81,8
2021-02-16,16,29,41,91,6
2021-02-17,12,38,45,97,6
2021-02-18,18,39,41,80,7
2021-02-19,13,32,41,85,8
2021-02-20,11,27,42,100,7
2021-02-21,15,34,48,90,5
2021-02-22,18,34,47,96,7
2021-02-23,15,42,46,90,5
2021-02-24,12,33,44,87,6
2021-02-25,17,33,36,87,7
2021-02-26,12,36,38,97,6
2021-02-27,10,31,39,92,9
2021-02-28,13,40,50,94,7
