Record Id,Shared To Id,Permission Type,Sharing Source,Shared By Id,Shared Time,Shared From Id,Share Related Records
zcrm_1920545000009185038,zcrm_1920545000001666003,,0,zcrm_1920545000003466001,2018-07-17 13:49:01,zcrm_1920545000001882023,0
zcrm_1920545000002332089,zcrm_1920545000001666011,,0,zcrm_1920545000002486001,2019-04-24 14:52:32,zcrm_1920545000002332089,0
zcrm_1920545000013895025,zcrm_1920545000001666011,,0,zcrm_1920545000008345001,2020-04-22 17:51:40,zcrm_1920545000013895025,0
zcrm_1920545000016618001,zcrm_1920545000001666011,,0,zcrm_1920545000008345001,2019-03-26 12:46:14,zcrm_1920545000016618001,0
zcrm_1920545000025516038,zcrm_1920545000002567031,,0,zcrm_1920545000000097003,2020-02-13 13:58:44,zcrm_1920545000008614012,0
zcrm_1920545000038731016,zcrm_1920545000002567031,,0,zcrm_1920545000008345001,2021-07-19 20:49:21,zcrm_1920545000038731016,0
zcrm_1920545000024685005,zcrm_1920545000011572075,,0,zcrm_1920545000001029001,2020-01-15 18:19:56,zcrm_1920545000024685001,0
zcrm_1920545000025271001,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2021-05-12 20:44:32,zcrm_1920545000026580401,0
zcrm_1920545000037294047,zcrm_1920545000011572075,,0,zcrm_1920545000001029001,2021-05-12 20:44:32,zcrm_1920545000026580401,0
