Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000169023,zcrm_1920545000000169001,zcrm_1920545000000169005,zcrm_1920545000000169007,,2016-06-07 02:38:04,2016-06-07 03:38:43,zcrm_1920545000000117001
zcrm_1920545000000169047,zcrm_1920545000000169025,zcrm_1920545000000169029,zcrm_1920545000000169031,zcrm_1920545000000169033,2016-06-07 02:45:31,2016-06-07 03:46:39,zcrm_1920545000000117001
zcrm_1920545000000170023,zcrm_1920545000000170001,zcrm_1920545000000170005,zcrm_1920545000000170007,zcrm_1920545000000170009,2016-06-07 02:54:55,2016-06-07 03:55:31,zcrm_1920545000000117001
zcrm_1920545000000170047,zcrm_1920545000000170025,zcrm_1920545000000170029,zcrm_1920545000000170031,zcrm_1920545000000170033,2016-06-07 03:04:35,2016-06-07 04:05:32,zcrm_1920545000000117001
zcrm_1920545000000171023,zcrm_1920545000000171001,zcrm_1920545000000171005,zcrm_1920545000000171007,zcrm_1920545000000171009,2016-06-07 03:21:53,2016-06-07 04:22:57,zcrm_1920545000000117001
zcrm_1920545000000171047,zcrm_1920545000000171025,zcrm_1920545000000171029,zcrm_1920545000000171031,zcrm_1920545000000171033,2016-06-07 03:37:33,2016-06-07 04:38:13,zcrm_1920545000000117001
zcrm_1920545000000171071,zcrm_1920545000000171049,zcrm_1920545000000171053,zcrm_1920545000000171055,zcrm_1920545000000171057,2016-06-07 03:45:35,2016-06-07 04:46:05,zcrm_1920545000000117001
zcrm_1920545000000181023,zcrm_1920545000000181001,zcrm_1920545000000181005,zcrm_1920545000000181007,zcrm_1920545000000181009,2016-06-12 18:25:45,2016-06-12 19:26:23,zcrm_1920545000000117001
zcrm_1920545000000181047,zcrm_1920545000000181025,zcrm_1920545000000181029,zcrm_1920545000000181031,zcrm_1920545000000181033,2016-06-12 18:34:36,2016-06-12 19:35:30,zcrm_1920545000000117001
zcrm_1920545000000182023,zcrm_1920545000000182001,zcrm_1920545000000182005,zcrm_1920545000000182007,zcrm_1920545000000182009,2016-06-12 19:20:56,2016-06-12 20:21:41,zcrm_1920545000000117001
zcrm_1920545000000182050,zcrm_1920545000000182028,zcrm_1920545000000182032,zcrm_1920545000000182034,zcrm_1920545000000182036,2016-06-12 22:37:49,2016-06-12 23:38:31,zcrm_1920545000000117001
zcrm_1920545000000182074,zcrm_1920545000000182052,zcrm_1920545000000182056,zcrm_1920545000000182058,zcrm_1920545000000182060,2016-06-12 23:42:56,2016-06-13 00:43:37,zcrm_1920545000000117001
zcrm_1920545000000182098,zcrm_1920545000000182076,zcrm_1920545000000182080,zcrm_1920545000000182082,zcrm_1920545000000182084,2016-06-13 00:00:43,2016-06-13 01:01:37,zcrm_1920545000000117001
zcrm_1920545000000186023,zcrm_1920545000000186001,zcrm_1920545000000186005,zcrm_1920545000000186007,zcrm_1920545000000186009,2016-06-14 18:14:55,2016-06-14 19:15:30,zcrm_1920545000000117001
zcrm_1920545000000186047,zcrm_1920545000000186025,zcrm_1920545000000186029,zcrm_1920545000000186031,zcrm_1920545000000186033,2016-06-14 18:21:56,2016-06-14 19:22:26,zcrm_1920545000000117001
zcrm_1920545000000186071,zcrm_1920545000000186049,zcrm_1920545000000186053,zcrm_1920545000000186055,zcrm_1920545000000186057,2016-06-14 18:35:21,2016-06-14 19:36:03,zcrm_1920545000000117001
zcrm_1920545000000194023,zcrm_1920545000000194001,zcrm_1920545000000194005,zcrm_1920545000000194007,zcrm_1920545000000194009,2016-06-20 00:39:39,2016-06-20 01:40:17,zcrm_1920545000000117001
zcrm_1920545000000194047,zcrm_1920545000000194025,zcrm_1920545000000194029,zcrm_1920545000000194031,zcrm_1920545000000194033,2016-06-20 00:45:26,2016-06-20 01:46:11,zcrm_1920545000000117001
zcrm_1920545000000194071,zcrm_1920545000000194049,zcrm_1920545000000194053,zcrm_1920545000000194055,zcrm_1920545000000194057,2016-06-20 00:51:43,2016-06-20 01:52:13,zcrm_1920545000000117001
zcrm_1920545000000195023,zcrm_1920545000000195001,,,zcrm_1920545000000195009,2016-06-20 14:59:18,2016-06-20 16:00:25,zcrm_1920545000000097003
