일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-05-01,12,22,26,91,3
2019-05-02,11,22,32,91,2
2019-05-03,12,26,28,86,2
2019-05-04,11,22,28,91,1
2019-05-05,9,20,26,75,1
2019-05-06,14,25,36,78,2
2019-05-07,10,28,34,83,1
2019-05-08,16,22,29,81,3
2019-05-09,15,24,33,93,2
2019-05-10,9,18,28,77,2
2019-05-11,17,23,28,85,1
2019-05-12,12,19,28,76,4
2019-05-13,9,26,27,81,3
2019-05-14,11,28,35,93,2
2019-05-15,14,23,33,79,3
2019-05-16,13,27,42,92,2
2019-05-17,13,26,28,89,2
2019-05-18,11,23,35,96,2
2019-05-19,9,20,31,85,2
2019-05-20,12,22,30,83,4
2019-05-21,11,26,33,86,1
2019-05-22,12,31,32,84,1
2019-05-23,9,16,20,58,1
2019-05-24,11,26,27,80,2
2019-05-25,12,19,36,82,3
2019-05-26,8,18,27,81,3
2019-05-27,13,24,34,100,2
2019-05-28,14,25,34,87,2
2019-05-29,14,24,30,82,3
2019-05-30,15,25,27,80,2
2019-05-31,11,23,34,85,3
