일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-01-01,7,26,32,90,2
2019-01-02,15,26,39,100,3
2019-01-03,12,26,39,86,3
2019-01-04,11,25,34,91,3
2019-01-05,9,25,30,87,3
2019-01-06,10,26,33,98,2
2019-01-07,13,23,33,92,3
2019-01-08,14,23,34,92,2
2019-01-09,14,29,37,90,2
2019-01-10,12,23,31,83,4
2019-01-11,11,29,32,73,3
2019-01-12,12,25,30,96,1
2019-01-13,10,26,26,83,2
2019-01-14,13,25,29,97,2
2019-01-15,12,28,35,80,4
2019-01-16,18,25,30,90,3
2019-01-17,17,25,33,89,3
2019-01-18,12,24,32,81,2
2019-01-19,15,27,35,93,2
2019-01-20,14,28,30,97,3
2019-01-21,12,27,38,88,2
2019-01-22,18,23,37,89,3
2019-01-23,14,29,34,95,1
2019-01-24,17,24,31,94,2
2019-01-25,11,26,32,76,2
2019-01-26,10,22,27,87,2
2019-01-27,12,31,35,91,2
2019-01-28,14,25,33,85,2
2019-01-29,11,25,33,88,3
2019-01-30,14,30,39,100,3
2019-01-31,16,24,37,99,4
