일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-10-01,7,24,26,100,2
2019-10-02,8,27,22,99,3
2019-10-03,11,23,23,76,2
2019-10-04,12,24,20,75,3
2019-10-05,13,24,23,70,3
2019-10-06,13,21,23,74,3
2019-10-07,11,21,24,79,4
2019-10-08,9,23,21,94,3
2019-10-09,16,27,25,77,6
2019-10-10,11,26,25,69,2
2019-10-11,11,61,27,84,3
2019-10-12,11,25,27,84,3
2019-10-13,9,24,26,73,4
2019-10-14,10,26,26,77,3
2019-10-15,13,24,30,85,4
2019-10-16,12,23,25,78,2
2019-10-17,12,29,24,73,3
2019-10-18,13,26,22,74,4
2019-10-19,15,21,18,63,3
2019-10-20,13,21,22,75,6
2019-10-21,9,20,25,76,3
2019-10-22,13,26,19,80,2
2019-10-23,11,24,23,63,2
2019-10-24,11,24,18,62,2
2019-10-25,10,20,20,60,2
2019-10-26,14,20,21,62,2
2019-10-27,7,13,12,55,1
2019-10-28,7,20,21,75,4
2019-10-29,11,26,20,70,2
2019-10-30,10,27,22,71,2
2019-10-31,11,22,28,74,3
