일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-03-01,11,21,33,91,3
2019-03-02,11,21,26,86,2
2019-03-03,14,30,23,87,5
2019-03-04,14,28,26,85,1
2019-03-05,12,26,32,85,2
2019-03-06,14,32,37,100,5
2019-03-07,12,28,29,82,3
2019-03-08,12,19,27,87,2
2019-03-09,11,28,33,98,3
2019-03-10,9,24,31,89,2
2019-03-11,11,26,37,96,2
2019-03-12,13,23,30,90,1
2019-03-13,12,23,37,85,2
2019-03-14,11,33,33,89,2
2019-03-15,13,34,29,90,2
2019-03-16,12,24,33,95,3
2019-03-17,9,25,33,83,1
2019-03-18,14,28,44,95,3
2019-03-19,16,26,31,85,4
2019-03-20,10,29,33,80,1
2019-03-21,9,30,36,80,0
2019-03-22,12,28,38,82,2
2019-03-23,15,22,30,90,3
2019-03-24,10,26,36,88,3
2019-03-25,15,33,44,93,2
2019-03-26,18,30,34,95,1
2019-03-27,17,27,34,92,2
2019-03-28,10,32,32,83,3
2019-03-29,14,27,29,86,2
2019-03-30,8,25,34,86,3
2019-03-31,11,22,31,94,5
