일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-04-01,13,28,36,99,4
2019-04-02,15,32,30,97,4
2019-04-03,11,26,31,92,4
2019-04-04,14,26,32,87,1
2019-04-05,13,24,28,82,3
2019-04-06,11,24,34,94,3
2019-04-07,13,25,33,86,2
2019-04-08,16,21,36,96,1
2019-04-09,12,26,32,87,2
2019-04-10,14,23,30,86,1
2019-04-11,14,24,32,95,1
2019-04-12,10,25,26,84,1
2019-04-13,12,27,28,82,3
2019-04-14,6,20,25,73,1
2019-04-15,13,26,26,88,2
2019-04-16,11,20,35,73,1
2019-04-17,12,24,25,82,4
2019-04-18,11,26,35,89,2
2019-04-19,9,22,28,84,2
2019-04-20,9,23,24,89,2
2019-04-21,10,23,25,86,4
2019-04-22,10,28,27,80,2
2019-04-23,11,28,36,100,2
2019-04-24,10,29,35,93,4
2019-04-25,10,23,31,78,2
2019-04-26,9,22,25,77,1
2019-04-27,11,24,25,76,2
2019-04-28,8,22,33,81,3
2019-04-29,10,20,31,75,2
2019-04-30,10,24,27,91,3
2019-05-01,13,23,32,91,2
