일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-02-01,11,25,34,88,1
2019-02-02,15,29,33,91,4
2019-02-03,12,25,31,88,3
2019-02-04,13,31,33,83,3
2019-02-05,17,28,42,88,4
2019-02-06,12,27,31,87,2
2019-02-07,15,24,32,71,2
2019-02-08,14,22,26,82,2
2019-02-09,10,23,30,88,4
2019-02-10,14,27,29,90,4
2019-02-11,13,27,27,90,4
2019-02-12,12,29,36,92,1
2019-02-13,13,35,32,98,3
2019-02-14,13,22,30,89,5
2019-02-15,16,26,36,77,3
2019-02-16,19,32,27,86,3
2019-02-17,17,29,34,83,5
2019-02-18,16,23,33,87,4
2019-02-19,15,31,38,81,3
2019-02-20,17,34,30,90,4
2019-02-21,11,25,38,85,2
2019-02-22,12,26,31,80,5
2019-02-23,21,30,28,100,3
2019-02-24,12,31,33,87,3
2019-02-25,13,27,35,96,3
2019-02-26,12,32,34,82,3
2019-02-27,15,28,30,82,3
2019-02-28,16,26,27,81,3
