일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-08-01,13,29,30,100,4
2019-08-02,11,23,29,90,3
2019-08-03,12,19,29,90,3
2019-08-04,14,22,26,83,3
2019-08-05,9,29,26,92,2
2019-08-06,16,26,32,90,4
2019-08-07,11,26,21,97,3
2019-08-08,14,25,27,85,3
2019-08-09,13,27,26,79,2
2019-08-10,17,23,24,84,2
2019-08-11,11,21,27,83,3
2019-08-12,14,21,34,93,2
2019-08-13,13,30,29,85,3
2019-08-14,12,24,25,80,2
2019-08-15,12,20,23,91,2
2019-08-16,8,26,22,89,5
2019-08-17,9,24,23,88,3
2019-08-18,12,27,28,87,2
2019-08-19,14,87,31,88,4
2019-08-20,11,33,30,93,5
2019-08-21,18,29,31,99,2
2019-08-22,13,29,29,96,5
2019-08-23,12,18,23,85,2
2019-08-24,11,25,25,97,5
2019-08-25,13,25,31,98,6
2019-08-26,12,24,31,91,5
2019-08-27,15,24,28,88,4
2019-08-28,11,32,32,88,4
2019-08-29,12,26,23,91,4
2019-08-30,13,22,29,79,5
