일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2019-06-01,14,22,32,86,2
2019-06-02,9,19,32,94,2
2019-06-03,11,20,31,77,1
2019-06-04,9,23,34,80,1
2019-06-05,12,21,31,86,1
2019-06-06,9,23,33,85,3
2019-06-07,15,26,30,87,2
2019-06-08,10,26,26,85,1
2019-06-09,11,17,25,79,2
2019-06-10,10,24,30,87,1
2019-06-11,11,24,37,100,3
2019-06-12,10,23,31,85,2
2019-06-13,12,20,32,92,2
2019-06-14,12,23,26,84,1
2019-06-15,10,21,23,90,3
2019-06-16,7,18,25,75,1
2019-06-17,17,20,27,97,2
2019-06-18,13,24,31,94,2
2019-06-19,10,24,33,86,2
2019-06-20,10,23,34,94,2
2019-06-21,13,23,32,85,2
2019-06-22,7,22,30,80,<1
2019-06-23,9,23,32,92,3
2019-06-24,12,27,32,87,2
2019-06-25,9,22,28,92,2
2019-06-26,11,28,32,89,3
2019-06-27,10,25,29,78,1
2019-06-28,12,27,33,87,3
2019-06-29,12,20,29,87,2
2019-06-30,9,20,31,87,2
2019-07-01,15,25,30,98,2
