Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Shiva Fitness Hub,Gym,"PHE Road, Lower Sichey Link Rd, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Shiva+Fitness+Hub/data=!4m5!3m4!1s0x39e6a586f3ebbec7:0xe2318b8b4f884131!8m2!3d27.3435036!4d88.5971543?authuser=0&hl=en&rclk=1,27.3435036,88.5971543,Sikkim
Bodycraft Fitness Gym,Gym,"5GQ2+7QW, Majitar, Sikkim 737136, India",https://www.google.co.kr/maps/place/Bodycraft+Fitness+Gym/data=!4m5!3m4!1s0x39e6a06c9ce4d0c3:0x579ac243b3ec88f!8m2!3d27.1882424!4d88.5019655?authuser=0&hl=en&rclk=1,27.1882424,88.5019655,Sikkim
Sangam Sailun,Gym,"Singtam, Sikkim 737128, India",https://www.google.co.kr/maps/place/Sangam+Sailun/data=!4m5!3m4!1s0x39e4273715555555:0x869b1621471bca02!8m2!3d27.1364448!4d88.3931154?authuser=0&hl=en&rclk=1,27.1364448,88.3931154,Sikkim
Boy's Gym,Gym,"Unnamed Road, Sikkim 737139, India",https://www.google.co.kr/maps/place/Boy's+Gym/data=!4m5!3m4!1s0x39e69bc1562629c9:0xe1cde835b00f1924!8m2!3d27.2973675!4d88.3571985?authuser=0&hl=en&rclk=1,27.2973675,88.3571985,Sikkim
SMIT GYM,Gym,"Food court, Majitar, Sikkim 737136, India",https://www.google.co.kr/maps/place/SMIT+GYM/data=!4m5!3m4!1s0x39e6a06c3d3fdac7:0xf1771496ec22721!8m2!3d27.1816656!4d88.5027817?authuser=0&hl=en&rclk=1,27.1816656,88.5027817,Sikkim
LIVE FIT THE GYM,Gym,"CHAMLING KHIM, Lingding Rd, near ADHAAR OFFICE, BUSTY, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/LIVE+FIT+THE+GYM/data=!4m5!3m4!1s0x39e6a5643c58c675:0x16943d109bbffb5b!8m2!3d27.3246932!4d88.6038645?authuser=0&hl=en&rclk=1,27.3246932,88.6038645,Sikkim
Creative fitness gym,Gym,"5988+Q3W, Namchi, Sikkim 737126, India",https://www.google.co.kr/maps/place/Creative+fitness+gym/data=!4m5!3m4!1s0x39e69d01342fa873:0x32e0795339733e31!8m2!3d27.166996!4d88.3652122?authuser=0&hl=en&rclk=1,27.166996,88.3652122,Sikkim
DYNAMIC ZUMBA WITH HENA SHARMA,Fitness center,"NH 10, near SRM UNIVERSITY, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/DYNAMIC+ZUMBA+WITH+HENA+SHARMA/data=!4m5!3m4!1s0x39e6a55c2bc4071f:0x292f10a3b4dd9a5a!8m2!3d27.3167516!4d88.5959067?authuser=0&hl=en&rclk=1,27.3167516,88.5959067,Sikkim
Weight management,Gym,"Legship-Gyalshing Rd, Geyzing, Sikkim 737111, India",https://www.google.co.kr/maps/place/Weight+management/data=!4m5!3m4!1s0x39e685dff7a11625:0x31e97a810c452f58!8m2!3d27.2831427!4d88.2584234?authuser=0&hl=en&rclk=1,27.2831427,88.2584234,Sikkim
Revamp Gym,Gym,"Upper Sichey Link Rd, Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Revamp+Gym/data=!4m5!3m4!1s0x39e6a56bfaff951b:0x3c83a6f6e9094e93!8m2!3d27.3390919!4d88.6070575?authuser=0&hl=en&rclk=1,27.3390919,88.6070575,Sikkim
