Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Fitness Zone,Gym,"285, Cuddalore Road, near Trueman English High School, Bharathidasan Nagar, Mudaliarpet, Puducherry, 605004, India",https://www.google.co.kr/maps/place/Fitness+Zone/data=!4m5!3m4!1s0x3a536190c5b3750f:0x8c104987d8799d34!8m2!3d11.91892!4d79.81373?authuser=0&hl=en&rclk=1,11.91892,79.81373,Puducherry
Fitness Corner,Gym,"No 7, SH 49, Lawspet, Puducherry, 605008, India",https://www.google.co.kr/maps/place/Fitness+Corner/data=!4m5!3m4!1s0x3a5361691edd1e67:0x3dbd83550a7d63bb!8m2!3d11.9506429!4d79.8153936?authuser=0&hl=en&rclk=1,11.9506429,79.8153936,Puducherry
Focus Fitness & Gym,Gym,"John paul Nagar, Near Railway Gate, 100 Feet Rd, Mudaliarpet, Puducherry, 605004, India",https://www.google.co.kr/maps/place/Focus+Fitness+%26+Gym/data=!4m5!3m4!1s0x3a5361988f69b143:0x5cae293e0a053b5e!8m2!3d11.9199934!4d79.8091246?authuser=0&hl=en&rclk=1,11.9199934,79.8091246,Puducherry
Nesam Ladies Fitness Studio,Fitness center,"Bus Stop, No.1 , 1st Floor, Lawspet Main Road, near Jeeva Colony, Puducherry, 605008, India",https://www.google.co.kr/maps/place/Nesam+Ladies+Fitness+Studio/data=!4m5!3m4!1s0x3a53610856329cfd:0x3c1c9afc6cef0681!8m2!3d11.9490836!4d79.8116959?authuser=0&hl=en&rclk=1,11.9490836,79.8116959,Puducherry
O2 FITNESS CENTRE,Gym,"V.K.Complex, Villupuram Main Road, Near More Supermarket, Marie Oulgaret, Puducherry, 605005, India",https://www.google.co.kr/maps/place/O2+FITNESS+CENTRE/data=!4m5!3m4!1s0x3a5361762080d6f7:0xfdeba15c9957692d!8m2!3d11.932091!4d79.8143788?authuser=0&hl=en&rclk=1,11.932091,79.8143788,Puducherry
O2 fitness center,Gym,"36, Villianur Main Rd, Mothilal Nagar, Marie Oulgaret, Puducherry, 605010, India",https://www.google.co.kr/maps/place/O2+fitness+center/data=!4m5!3m4!1s0x3a5361d4f57ddbb5:0x579b280831df8c9c!8m2!3d11.9310788!4d79.7877074?authuser=0&hl=en&rclk=1,11.9310788,79.7877074,Puducherry
Aadukalam HiFi fitness,Fitness center,"Balaji nagar Behind fat him a school, near sivaji statue, Lawspet, Puducherry, 605008, India",https://www.google.co.kr/maps/place/Aadukalam+HiFi+fitness/data=!4m5!3m4!1s0x3a536160834b4f47:0x85a19ff32394fc5d!8m2!3d11.9546311!4d79.8261383?authuser=0&hl=en&rclk=1,11.9546311,79.8261383,Puducherry
Lotus Gym,Gym,"43, 100 Feet Road, Sundararajan Nagar, opposite Hero Honda Showroom, Mudaliarpet, Puducherry, 605004, India",https://www.google.co.kr/maps/place/Lotus+Gym/data=!4m5!3m4!1s0x3a53619f54440f13:0x53d8b130c96cbdfc!8m2!3d11.9268278!4d79.8076382?authuser=0&hl=en&rclk=1,11.9268278,79.8076382,Puducherry
Roof Top Fitness,Gym,"56, Rue, Suffren St, White Town, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Roof+Top+Fitness/data=!4m5!3m4!1s0x3a5363ddb5d3748b:0x8b6d8967de5b0ccb!8m2!3d11.925869!4d79.832217?authuser=0&hl=en&rclk=1,11.925869,79.832217,Puducherry
J.J. Fitness Pvt. Ltd.,Gym,"No.52,2nd Floor, J.M Plaza, Vazhudavoor Rd, Kathirkamam, Puducherry, 605009, India",https://www.google.co.kr/maps/place/J.J.+Fitness+Pvt.+Ltd./data=!4m5!3m4!1s0x3a53610517847049:0x149d6c91cc83d742!8m2!3d11.9411171!4d79.7939241?authuser=0&hl=en&rclk=1,11.9411171,79.7939241,Puducherry
