Company_Name,Category,Address,Url,Latitude,Longitude,Territory
City Gymn,Gym,"VQJ6+9RR, 3rd Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/City+Gymn/data=!4m5!3m4!1s0x374609ec9b17a30b:0xfa18127e7cee6601!8m2!3d25.880991!4d93.762008?authuser=0&hl=en&rclk=1,25.880991,93.762008,Nagaland
The Combat Academy,Gym,"4th Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/The+Combat+Academy/data=!4m5!3m4!1s0x374609b9d0912809:0x2cb8f98ddafd4579!8m2!3d25.8631331!4d93.766951?authuser=0&hl=en&rclk=1,25.8631331,93.766951,Nagaland
Aesthetic Fitness Center,Gym,"NH29, Chumukeidma, Dimapur, Nagaland 797103, India",https://www.google.co.kr/maps/place/Aesthetic+Fitness+Center/data=!4m5!3m4!1s0x37460886e459923d:0xcbb7a5378f0f0b99!8m2!3d25.8109772!4d93.7871222?authuser=0&hl=en&rclk=1,25.8109772,93.7871222,Nagaland
The Yoga Studio,Fitness center,"Dmc complex, Kalibari Rd, opp. Gurudwara, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/The+Yoga+Studio/data=!4m5!3m4!1s0x3745e1ae94ba4e01:0x82880e8f36e1e491!8m2!3d25.9048645!4d93.7251367?authuser=0&hl=en&rclk=1,25.9048645,93.7251367,Nagaland
Capital Gym,Gym,"NH2, Midland Colony, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Capital+Gym/data=!4m5!3m4!1s0x374621c72497bc8d:0x1b3b22cdf4d792f0!8m2!3d25.667006!4d94.1037475?authuser=0&hl=en&rclk=1,25.667006,94.1037475,Nagaland
PAWF CENTER,Fitness center,"Opposite to Diphupar Police Station, Diphupar, 4th Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/PAWF+CENTER/data=!4m5!3m4!1s0x374609cac8c58ff3:0xcea4e438f0a1c15!8m2!3d25.8713245!4d93.7657257?authuser=0&hl=en&rclk=1,25.8713245,93.7657257,Nagaland
F.E.A.R Fitness Center,Gym,"NH29, Chumukeidma, Dimapur, Nagaland 797103, India",https://www.google.co.kr/maps/place/F.E.A.R+Fitness+Center/data=!4m5!3m4!1s0x374609d6784ea4ad:0xbf1bbd121b7a89a3!8m2!3d25.8109546!4d93.7871393?authuser=0&hl=en&rclk=1,25.8109546,93.7871393,Nagaland
Fitness Centre,Gym,"National Institute of Technology, Dimapur, Nagaland, India",https://www.google.co.kr/maps/place/Fitness+Centre/data=!4m5!3m4!1s0x374607c5bd543a17:0x4ee0d53bb732a367!8m2!3d25.7879075!4d93.772704?authuser=0&hl=en&rclk=1,25.7879075,93.772704,Nagaland
City Gymn,Gym,"Naga Colony, Burma Camp, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/City+Gymn/data=!4m5!3m4!1s0x3745e105e2a04f01:0xbb0da6a2d2e4a732!8m2!3d25.9199409!4d93.7344593?authuser=0&hl=en&rclk=1,25.9199409,93.7344593,Nagaland
Star Gym,Gym,"NH39, B.O.C, P.R. Hill, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/Star+Gym/data=!4m5!3m4!1s0x374621b266bab93d:0x64582dca1991dbc4!8m2!3d25.6562718!4d94.099131?authuser=0&hl=en&rclk=1,25.6562718,94.099131,Nagaland
