Company_Name,Category,Address,Url,latitude,longtitude
RB MMA AND FITNESS GYM,Gym,"D-87, Electric Veng, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/RB+MMA+AND+FITNESS+GYM/data=!4m5!3m4!1s0x374d955d06e957cd:0x31c9af1c24ea89be!8m2!3d23.7365957!4d92.718666?authuser=0&hl=en&rclk=1,23.7365957,92.718666
rinoma's club,Gym,"Vaivakawn Rd, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/rinoma's+club/data=!4m5!3m4!1s0x374d95b1acdab299:0x116b4b769a464f7!8m2!3d23.727107!4d92.7176389?authuser=0&hl=en&rclk=1,23.727107,92.7176389
Active Gym & Fitness,Gym,"Luangmual, Chhangurkawn, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Active+Gym+%26+Fitness/data=!4m5!3m4!1s0x374deb549ce93bd5:0xec89d8228152cb3d!8m2!3d23.7401507!4d92.7007572?authuser=0&hl=en&rclk=1,23.7401507,92.7007572
Sunrise Fitness Gym,Boxing gym,"AOC Road, College Veng, Aizawl, Mizoram 796901, India",https://www.google.co.kr/maps/place/Sunrise+Fitness+Gym/data=!4m5!3m4!1s0x374d95b2b8d63705:0x78bbb95735e6500c!8m2!3d23.7236884!4d92.7300841?authuser=0&hl=en&rclk=1,23.7236884,92.7300841
BHHO,Gym,"1st floor, D-34 Chanmari, Ramhlun Road, Treasury Square, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/BHHO/data=!4m5!3m4!1s0x374d94c7ffa5e2d9:0x3558ae02f35e9bf8!8m2!3d23.7411555!4d92.7190659?authuser=0&hl=en&rclk=1,23.7411555,92.7190659
Monster Gym,Gym,"near st joseph hss, Bawngkawn, Aizawl, Mizoram 796017, India",https://www.google.co.kr/maps/place/Monster+Gym/data=!4m5!3m4!1s0x374dead5aa45c6a9:0x428c16cd736e1999!8m2!3d23.7567209!4d92.730419?authuser=0&hl=en&rclk=1,23.7567209,92.730419
S&S Fitness Gym,Gym,"PMRX+3H6, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/S%26S+Fitness+Gym/data=!4m5!3m4!1s0x374deb55522fdd89:0x37ef16293e100c21!8m2!3d23.7401676!4d92.6988867?authuser=0&hl=en&rclk=1,23.7401676,92.6988867
Monster Gym Thuampui,Gym,"Bus Stop, Pushpak Peng, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/Monster+Gym+Thuampui/data=!4m5!3m4!1s0x374debf083163053:0x2ef9eb6e1642365c!8m2!3d23.741986!4d92.739004?authuser=0&hl=en&rclk=1,23.741986,92.739004
Indoor Stadium,Gym,"WFGR+5R6, BAZAR VENG, Mamit, Mizoram 796441, India",https://www.google.co.kr/maps/place/Indoor+Stadium/data=!4m5!3m4!1s0x374df785b0199f2f:0x329f013a9d823338!8m2!3d23.9254022!4d92.4920122?authuser=0&hl=en&rclk=1,23.9254022,92.4920122
Origin Gym,Gym,"PPM6+J3H, Kanan Veng, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Origin+Gym/data=!4m5!3m4!1s0x374d95107173ab97:0x32e151e10ff3f364!8m2!3d23.7340603!4d92.7102284?authuser=0&hl=en&rclk=1,23.7340603,92.7102284
The Highway Gym,Gym,"Salem Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/The+Highway+Gym/data=!4m5!3m4!1s0x374d951710d467e1:0x3c7eb8b0aedc34e2!8m2!3d23.7114998!4d92.72817?authuser=0&hl=en&rclk=1,23.7114998,92.72817
DZR Fitness Gym,Gym,"Ramhlun Venglai, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/DZR+Fitness+Gym/data=!4m5!3m4!1s0x374deb0a4254a167:0x90dee4598f4c96c0!8m2!3d23.7451809!4d92.7251074?authuser=0&hl=en&rclk=1,23.7451809,92.7251074
Divine Health and Fittness Gym New,Gym,"Keifang, Mizoram 796261, India",https://www.google.co.kr/maps/place/Divine+Health+and+Fittness+Gym+New/data=!4m5!3m4!1s0x374db7ed02c4fd17:0x30998e3eeda173ac!8m2!3d23.669084!4d92.9630115?authuser=0&hl=en&rclk=1,23.669084,92.9630115
GraceLand Health and Fitness Gym,Gym,"M/ C 9, Chaltlang Venglai, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/GraceLand+Health+and+Fitness+Gym/data=!4m5!3m4!1s0x374deb9621c2b077:0x121d022c4d14df2a!8m2!3d23.7504902!4d92.7221204?authuser=0&hl=en&rclk=1,23.7504902,92.7221204
Field Tlangnuam,Gym,"Aizawl Venglai Rd 2, Aizawl Venglai, Chaltlang, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/Field+Tlangnuam/data=!4m5!3m4!1s0x374deb3547af0835:0xb94f7f25cec7d9a9!8m2!3d23.7403774!4d92.7193927?authuser=0&hl=en&rclk=1,23.7403774,92.7193927
7th day tlang,Gym,"PPP6+P6R, Vaivakawn, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/7th+day+tlang/data=!4m5!3m4!1s0x374d95cb6f1ad3e3:0xcae690bcf7c781e6!8m2!3d23.7368669!4d92.7105139?authuser=0&hl=en&rclk=1,23.7368669,92.7105139
Baptist Church of Mizoram Venghlun Lunglei,Gym,"WFHR+W7P, Venghlun, Mamit, Mizoram 796441, India",https://www.google.co.kr/maps/place/Baptist+Church+of+Mizoram+Venghlun+Lunglei/data=!4m5!3m4!1s0x374df78625555555:0xa2d75949452675a0!8m2!3d23.9298451!4d92.4907128?authuser=0&hl=en&rclk=1,23.9298451,92.4907128
Mission Vengthlang Futsal Ground,Gym,"Unnamed Road, Mission Vengthlang, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Mission+Vengthlang+Futsal+Ground/data=!4m5!3m4!1s0x374d95e8c213d29f:0x85d0a43690ab7528!8m2!3d23.7109325!4d92.7018314?authuser=0&hl=en&rclk=1,23.7109325,92.7018314
CCR Fitness Gym,Gym,"Unnamed Road, Lengpui, Mizoram 796410, India",https://www.google.co.kr/maps/place/CCR+Fitness+Gym/data=!4m5!3m4!1s0x374ded09c35b7869:0x1d6c5d6056a9a9e0!8m2!3d23.8335079!4d92.6345002?authuser=0&hl=en&rclk=1,23.8335079,92.6345002
Zotlang Field,Gym,"PPR3+F6X, Zotlang, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Zotlang+Field/data=!4m5!3m4!1s0x374deb54a1e18665:0x634add4ca8e29e41!8m2!3d23.7412442!4d92.7031061?authuser=0&hl=en&rclk=1,23.7412442,92.7031061
Alpha Martial Arts and Fitness,Gym,"Brigade Field Rd, Bawngkawn, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Alpha+Martial+Arts+and+Fitness/data=!4m5!3m4!1s0x374debe131758f7d:0xbc5ebf72bf20f4e6!8m2!3d23.7576425!4d92.7282776?authuser=0&hl=en&rclk=1,23.7576425,92.7282776
Dawrzawl,Gym,"Theiriat Field(Vengthlang Mual), Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Dawrzawl/data=!4m5!3m4!1s0x374d4759bda75ca5:0xc045a642b942644b!8m2!3d22.8678493!4d92.7743483?authuser=0&hl=en&rclk=1,22.8678493,92.7743483
Luangmual YMA Ground,Gym,"PMQX+5HR, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Luangmual+YMA+Ground/data=!4m5!3m4!1s0x374d94aa99884f6f:0xcc3d530118d1e0a2!8m2!3d23.7379901!4d92.6988991?authuser=0&hl=en&rclk=1,23.7379901,92.6988991
