Company_Name,Category,Address,Url,latitude,longtitude
Ponda Clinic,Medical clinic,"336, Dulapi, Corlim, Corlim, Goa, 403110, India",https://www.google.co.kr/maps/place/Ponda+Clinic/data=!4m5!3m4!1s0x3bbfbe8300000001:0xc46d07ae317a1fa3!8m2!3d15.5040835!4d73.9330429?authuser=0&hl=en&rclk=1,15.5040835,73.9330429
Dr Mahendra Kare Clinic,Doctor,"2C, 2nd Floor, Arjuntree One Appartment, Nr BSNL Telephone Exchange, Comba, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Dr+Mahendra+Kare+Clinic/data=!4m5!3m4!1s0x3bbfb3e99a3e3a31:0x512a8e6f9709507b!8m2!3d15.2722122!4d73.9555028?authuser=0&hl=en&rclk=1,15.2722122,73.9555028
Health Care Clinic,Medical clinic,"F12, Rizimplaza, Near Fish Market, Morod, Mapusa, Goa, 403507, India",https://www.google.co.kr/maps/place/Health+Care+Clinic/data=!4m5!3m4!1s0x3bbfeae69e615e1d:0x95a1ce365b705a5f!8m2!3d15.587164!4d73.812665?authuser=0&hl=en&rclk=1,15.587164,73.812665
Dr Milind Colvalcar's Mapusa Clinic Medical Centre,Hospital,"High School, near St. Brittos, Dangui Colony, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Dr+Milind+Colvalcar's+Mapusa+Clinic+Medical+Centre/data=!4m5!3m4!1s0x3bbfeae229d521cd:0x6d04665be1ab4fad!8m2!3d15.5920059!4d73.8121629?authuser=0&hl=en&rclk=1,15.5920059,73.8121629
Ayurclinic Goa,Ayurvedic clinic,"Baga Creek, Between ""Royal Goan Beach Club"" and ""Lila Café"", Arpora, Calangute,Goa, Goa 403521, India",https://www.google.co.kr/maps/place/Ayurclinic+Goa/data=!4m5!3m4!1s0x3bbfea21d62a4623:0x618e5741403001!8m2!3d15.5680602!4d73.7525427?authuser=0&hl=en&rclk=1,15.5680602,73.7525427
Goaclinic24x7,Medical clinic,"Mandrem Beach Rd, Junaswada, Pernem, Mandrem, Goa 403527, India",https://www.google.co.kr/maps/place/Goaclinic24x7/data=!4m5!3m4!1s0x3bbfeeefbf928b19:0x15d2f6a562aeb5a0!8m2!3d15.6651526!4d73.7140636?authuser=0&hl=en&rclk=1,15.6651526,73.7140636
Goa Pain Clinic,Pain control clinic,"PERPETUA B,NEAR DR.RITA'S CLINIC,NH17 ROAD PORVORIM, near ALCONHYUNDAI SHOWROOM, Goa 403501, India",https://www.google.co.kr/maps/place/Goa+Pain+Clinic/data=!4m5!3m4!1s0x3bbfc01f217ba1a9:0xe73bf1f0933dc2e!8m2!3d15.5447156!4d73.8206692?authuser=0&hl=en&rclk=1,15.5447156,73.8206692
Dr.pooja gupta gynecologist clinic,Abortion clinic,"Javed khan havecim shirvodem house no 9, Goa 403601, India",https://www.google.co.kr/maps/place/Dr.pooja+gupta+gynecologist+clinic/data=!4m5!3m4!1s0x3bbfb375e22a9773:0x9ccb401098528e2!8m2!3d15.2638917!4d73.9587593?authuser=0&hl=en&rclk=1,15.2638917,73.9587593
Sapna Clinic,Medical clinic,"Sapana Clinic, House No.149, Alto - Dabolim, Bogmalo, Junction, Dabolim, Goa 403801, India",https://www.google.co.kr/maps/place/Sapna+Clinic/data=!4m5!3m4!1s0x3bbfb962ef835b15:0xf51cc5de6d66f33b!8m2!3d15.388422!4d73.8481902?authuser=0&hl=en&rclk=1,15.388422,73.8481902
"Dr Prakash Verekar Acupuncture Goa , Clinic Tato",Acupuncture clinic,"Prudential Palms, Clinic Tato Shop no 12, Chogm Rd, Alto Porvorim, Goa, 403501, India","https://www.google.co.kr/maps/place/Dr+Prakash+Verekar+Acupuncture+Goa+,+Clinic+Tato/data=!4m5!3m4!1s0x3bbfc01650e37f49:0x45780429fa78fb51!8m2!3d15.5349536!4d73.8208207?authuser=0&hl=en&rclk=1",15.5349536,73.8208207
