Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Help Hospital,Private hospital,"4/5, 4th Ln, Sali Pet, Arundelpet, Guntur, Andhra Pradesh 522002, India",https://www.google.co.kr/maps/place/Help+Hospital/data=!4m5!3m4!1s0x3a4a754ff2626495:0x3a340f5fb83a17ef!8m2!3d16.3046364!4d80.4443766?authuser=0&hl=en&rclk=1,16.3046364,80.4443766,Andhra Pradesh,South
SAI PRASUNA NURSING HOME,Hospital,"13/171, India Trunk Road,, Opp: Bombay Marriage Hall, Kadapa, Andhra Pradesh, India",https://www.google.co.kr/maps/place/SAI+PRASUNA+NURSING+HOME/data=!4m5!3m4!1s0x3bb3721db9d9cc61:0x661730caa5e90cd7!8m2!3d14.4819994!4d78.8201652?authuser=0&hl=en&rclk=1,14.4819994,78.8201652,Andhra Pradesh,South
Asram General & Super Speciality Hospital,General hospital,"NH 5, Asram Road, West Godavari District, Eluru, Eluru, Andhra Pradesh 534005, India",https://www.google.co.kr/maps/place/Asram+General+%26+Super+Speciality+Hospital/data=!4m5!3m4!1s0x3a366ab8f620fbb5:0xc457b03853e3e086!8m2!3d16.7364937!4d81.1436079?authuser=0&hl=en&rclk=1,16.7364937,81.1436079,Andhra Pradesh,South
Hyderabad Hospital,Hospital,"12-2-725/2, Mufti Plaza, Rethi Bowli, Mehdipatnam, Hyderabad, Andhra Pradesh 500028, India",https://www.google.co.kr/maps/place/Hyderabad+Hospital/data=!4m5!3m4!1s0x3bcb971f00000001:0x367930468f370c1!8m2!3d15.9128998!4d79.7399875?authuser=0&hl=en&rclk=1,15.9128998,79.7399875,Andhra Pradesh,South
Omega Hospital,Hospital,"Unnamed Road, Agatha Varappadu, Guntur, Andhra Pradesh 522509, India",https://www.google.co.kr/maps/place/Omega+Hospital/data=!4m5!3m4!1s0x3a4a0ba21c23a5f7:0xd70ff9e6c0212a32!8m2!3d16.3163666!4d80.4721543?authuser=0&hl=en&rclk=1,16.3163666,80.4721543,Andhra Pradesh,South
Appollo Hospital,Hospital,"R2PR+CJ3, Kotha Peta, Kurnool, Andhra Pradesh 518004, India",https://www.google.co.kr/maps/place/Appollo+Hospital/data=!4m5!3m4!1s0x3bb5e75d459eaf9d:0x9457d7a575f6bf49!8m2!3d15.8360036!4d78.0415605?authuser=0&hl=en&rclk=1,15.8360036,78.0415605,Andhra Pradesh,South
Hospital,Hospital,"QXG2+6CX, Kotikalpudi, Andhra Pradesh 523201, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x3a4af04e48b1512d:0x69def4a6bec1d5ae!8m2!3d15.7756061!4d79.9511077?authuser=0&hl=en&rclk=1,15.7756061,79.9511077,Andhra Pradesh,South
INDO-BRITISH Hospital,Hospital,"Srinivasa Nagar Bank Colony, Vijayawada, Andhra Pradesh 520008, India",https://www.google.co.kr/maps/place/INDO-BRITISH+Hospital/data=!4m5!3m4!1s0x3a35fad32577891d:0x3d673b0ebe4111ef!8m2!3d16.5135459!4d80.6692855?authuser=0&hl=en&rclk=1,16.5135459,80.6692855,Andhra Pradesh,South
Govt Hospital,Hospital,"VHRQ+37M, Namassivaya Puram, Andhra Pradesh 523304, India",https://www.google.co.kr/maps/place/Govt+Hospital/data=!4m5!3m4!1s0x3a4ac793d99fb79f:0xc91f792f4d8601e6!8m2!3d15.890204!4d79.588165?authuser=0&hl=en&rclk=1,15.890204,79.588165,Andhra Pradesh,South
Kims Hospitals,Hospital,"4-120/A, North Bypass Road, NH-5, Backside Agriculture Market Yard Mukthinuthalapadu (V), Prakasham Dist, Ongole, Andhra Pradesh 523001, India",https://www.google.co.kr/maps/place/Kims+Hospitals/data=!4m5!3m4!1s0x3a4b00354228e5a5:0xae2a99dd3d81302f!8m2!3d15.5341227!4d80.05475?authuser=0&hl=en&rclk=1,15.5341227,80.05475,Andhra Pradesh,South
