Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Healthway Hospital Old Goa,Hospital,"FWP6+85C, Bainguinim, Goa 403110, India",https://www.google.co.kr/maps/place/Healthway+Hospital+Old+Goa/data=!4m5!3m4!1s0x3bbfbf3ae6d3c6d1:0xe0f6c6e95d47b012!8m2!3d15.4858064!4d73.9103819?authuser=0&hl=en&rclk=1,15.4858064,73.9103819,Goa,West 1
Yashodan Hospital,Maternity hospital,"7XGH+5QH, Aquem Alto, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Yashodan+Hospital/data=!4m5!3m4!1s0x3bbfb3cda50c47e7:0x76aa11cbeb4a6a9d!8m2!3d15.2754423!4d73.9794821?authuser=0&hl=en&rclk=1,15.2754423,73.9794821,Goa,West 1
E S I Hospital,General hospital,"Near R P Stadium, Aquem, Margao, Goa, 403601, India",https://www.google.co.kr/maps/place/E+S+I+Hospital/data=!4m5!3m4!1s0x3bbfb3b35ba04b57:0xa264018761c5e951!8m2!3d15.2601!4d73.982?authuser=0&hl=en&rclk=1,15.2601,73.982,Goa,West 1
Healthway Hospitals Goa,Hospital,"Plot No 132/1 (Part), Ella Village, Kadamba Plateau, Goa Velha, Goa 403402, India",https://www.google.co.kr/maps/place/Healthway+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfbec0603bc0cb:0xf20292b81bd11b89!8m2!3d15.4856164!4d73.9111814?authuser=0&hl=en&rclk=1,15.4856164,73.9111814,Goa,West 1
South Goa District Hospital,Government hospital,"NH 66, Fatorda, Margao, Goa 403602, India",https://www.google.co.kr/maps/place/South+Goa+District+Hospital/data=!4m5!3m4!1s0x3bbfb15c874a876d:0x641ad86b59b361bd!8m2!3d15.2950132!4d73.953641?authuser=0&hl=en&rclk=1,15.2950132,73.953641,Goa,West 1
Aster Hospital,Hospital,"Chapel Road, next to Holy Spirit Church, Monte Hill, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Aster+Hospital/data=!4m5!3m4!1s0x3bbfb3ddc6a66fc3:0x76fae81493bff940!8m2!3d15.2808348!4d73.9614898?authuser=0&hl=en&rclk=1,15.2808348,73.9614898,Goa,West 1
"Dr. Kedar's Maternity, Infertility & Surgical Hospital",Hospital,"Electricity Colony, Altinho, Panaji, Goa 403001, India","https://www.google.co.kr/maps/place/Dr.+Kedar's+Maternity,+Infertility+%26+Surgical+Hospital/data=!4m5!3m4!1s0x3bbfc08c3a7f0c03:0xa75f17bfa89f555e!8m2!3d15.4874659!4d73.8242621?authuser=0&hl=en&rclk=1",15.4874659,73.8242621,Goa,West 1
Vision Hospital,Hospital,"Duler Ground Rd, Karaswada, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Vision+Hospital/data=!4m5!3m4!1s0x3bbfeb22e915b243:0xe169c686ad111a19!8m2!3d15.6045829!4d73.8203984?authuser=0&hl=en&rclk=1,15.6045829,73.8203984,Goa,West 1
Hospicio District Hospital,Hospital,"Fr Agnel Institute Of Commerce, Road, Monte Hill, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Hospicio+District+Hospital/data=!4m5!3m4!1s0x3bbfb3e9c143a8a7:0x8bf1f135de9f2098!8m2!3d15.2787552!4d73.9606063?authuser=0&hl=en&rclk=1,15.2787552,73.9606063,Goa,West 1
RG Stone Urology & Laparoscopy Hospital,Hospital,"Plot No.217-218, PDA Colony Panjim-Mapusa Highway, Goa 403521, India",https://www.google.co.kr/maps/place/RG+Stone+Urology+%26+Laparoscopy+Hospital/data=!4m5!3m4!1s0x3bbfc06cc8a80dab:0xa72466447e5868e7!8m2!3d15.5266618!4d73.8260563?authuser=0&hl=en&rclk=1,15.5266618,73.8260563,Goa,West 1
Vintage Hospital,Hospital,"Agakhan Street, Pajifond, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Vintage+Hospital/data=!4m5!3m4!1s0x3bbfb3c307558d1d:0xac9fa9e11d64641d!8m2!3d15.2734131!4d73.9628168?authuser=0&hl=en&rclk=1,15.2734131,73.9628168,Goa,West 1
Savaikar Hospital,Private hospital,"Warkhandem, Ponda, Goa 403401, India",https://www.google.co.kr/maps/place/Savaikar+Hospital/data=!4m5!3m4!1s0x3bbfbaead6555551:0xc70de1e127d52949!8m2!3d15.4032181!4d74.0049443?authuser=0&hl=en&rclk=1,15.4032181,74.0049443,Goa,West 1
Cottage Hospital,Hospital,"Alto Chicalim, Vasco da Gama, Goa 403802, India",https://www.google.co.kr/maps/place/Cottage+Hospital/data=!4m5!3m4!1s0x3bbfc78fadbbec63:0xe686e3479c712a10!8m2!3d15.4002927!4d73.8324682?authuser=0&hl=en&rclk=1,15.4002927,73.8324682,Goa,West 1
