Date,Academic,Private Enterprise,Hotel,Hospital,Clinic,Fitness,Military,Others_Individual,Others_etc,Others_Others Corporate,Public Association,Others_Aesthetic
2017-1,1.0,1.0,1.0,22.640421736817466,23840.632074224573,5833.7939800841505,1.0,1.0,1.0,1.0,1.0,19.1385233285217
2017-2,1.0,61963.087644052626,1.0,5000.0,1.0,132320.62080373295,1.0,1.0,1.0,34.284293216993774,1.0,1.0
2017-3,1.0,1.0,19.88738429939199,19.88742880293883,1.0,2331.705890667812,1.0,1.0,1.0,20.064161053925016,1.0,20.10835518400097
2017-4,1.0,1.0,1.0,60786.10619586977,1.0,9639.600246836337,1.0,1.0,1.0,833.3333333333333,1.0,1.0
2017-5,1.0,833.3333333333333,1.0,50.231501703583994,1.0,958.8197528743207,1.0,1.0,1.0,1.0,1.0,26.181532375707704
2017-6,1.0,46.10749314691582,1.0,3676.0565919223086,1.0,2343.6967879173517,1.0,1.0,1.4894951049758252,2139.7692465582336,1.0,1.0
2017-7,1.0,1.0,1.0,1.0,1.0,4347.269047357169,1.0,1.0,1.0,40.65977750357461,1.0,1.0
2017-8,5000.0,1.0,1.0,989.9944952937387,1.0,4377.473554812966,1.0,1.0,1.0,30536.990063491885,1.0,2222.2222222222217
2017-9,3333.333333333333,734.6938775510204,1.0,4592.391304347826,90155.58210276267,21340.236307263243,1.0,1579.818786228417,1.0,226716.00282652926,5000.0,8228.57142857143
2017-10,39.41364972982082,1.0,100.0,48647.787054852684,1.0,8299.987129204816,1.0,1.0,1.0,17518.035219960697,1.0,86206.22741462383
2017-11,1.0,3333.333333333333,1.0,35545.96597585578,1.0,4759.6883795534995,1.0,5000.0,1.0,14.915976094105716,1.0,1.0
2017-12,1.6370475270587062,1.0,1.0,1884.2988071984892,190.53245756266617,4152.804225885744,714.2857142857142,1.0,1.0,25.1901310536424,1.0,1.0
2018-1,29.846037931146867,28.902655263351086,1.0,1.0,1.2069236593992898,2222.270040720836,1.0,1.0,1.0,0.54263143387621,1.0,18.01980798525846
2018-2,1.0,1.0,1.0,24.94067743726739,31856.861553603867,4015.0608581194338,1.0,0.11326793275400747,0.06371360861506538,113.26877849467128,0.11326793275400747,1.0
2018-3,666.6666666666665,20.725994896283737,66.66666666666666,253.55465723269407,71.4285714285714,1459.9437359347992,1.0,0.9383356703047935,0.06535364921132807,8620.068263069568,1.0,36412.7826933638
2018-4,1.0,32631.891456547237,1.0,5122.081825571964,1.0,1249.6742217940578,1.0,1.0,0.21814932720724886,1.0,1.0,1006.948645269577
2018-5,1666.6666666666665,13.621119814864095,1.0,2017.9946232997308,133.33333333333334,11792.117538513818,1.0,1.0,0.39434019546225557,14816.839828728034,40.32509487496323,1.9293069709235162
2018-6,40.0,1445.572562172739,1.0,2373.363388756425,26610.975832945798,3794.9959220832216,1.0,787.9663046640769,6.550612667807668,1741.8257921036995,31.573068814143117,11.268057425566228
2018-7,1.0,36220.40543108308,1.0,10870.237688744737,11.903402600130313,5444.2504950662205,1.0,1.0,0.834513035303944,20624.746908272096,1.0,19.004178265320483
2018-8,71575.83587938875,1.0,1.0,35.17047558831262,3141.3361368645624,8214.908073370965,1.0,1.0,1.1444069020012941,15.449253067005223,13.398996127743779,1.0
2018-9,0.10653900205606884,1.0,1.0,17379.136417393736,6311.492803362004,3643.812955262904,1.0,1.0,13.363017906780486,31.386551638657938,12.706961373725335,1.6884579399296853
2018-10,23.06587254364688,8006.996120539446,23.922527553315184,75.75757575757575,1.0,773.1221471369334,1.0,1.0,0.8983517016889551,6730.94835054423,1.0,75959.48165781249
2018-11,0.12024365549421732,3214.2857142857133,1.0,6809.488913750148,1.0,10983.014557846858,1.0,1.0,23.539207724933938,1900.5067692733444,1.0,44975.25985357511
2018-12,21.25319083576642,1000.0,1.0,79.71945042121426,1.0,8582.556785012075,100.0,1.0,0.14541414665302163,17.84563463060668,41.990849450306364,1.0
2019-1,1.0,109653.59711873373,100.0,4.250668330386345,1.0,46067.404045298696,1.0,1.092831893166601,0.3165826814284533,4.868550391381189,1.0,1.0
2019-2,1.0,1428.5714285714284,1.0,1.0,1.0,2803.5133405704055,1.0,0.5252074399132058,1.3449246767053546,14.974489385511575,65.03392126820762,7.170590834046431
2019-3,1.0,1.0,1.0,8737.009846190564,526.3157894736842,8401.866286570807,1.0,0.36736540285608893,0.5726431714517779,10.485598884710035,55.27444387313211,6.550361704278977
2019-4,1.0,7594.872179864614,3.1112251320761763,29339.905829151146,500.0,1016.0852735533699,1.0,0.33912087875740543,0.459398344043651,50.68280692121622,1.0,4.146408017288452
2019-5,1.0,1250.0,1.0,51.031280589313695,1.0,4854.516391042149,1.0,1.2259709845600533,0.2615484935182066,1.0,1.0,37885.20909697653
2019-6,1.0,128561.46128407915,1.0,20018.225851767587,2500.0,12643.57458166431,1.0,0.23803742911743075,0.30289965784840256,13.670779051452623,5000.0,24.391680638931177
2019-7,1.0,702.5910542132849,138.88888888888886,14408.184850111911,1.0,6910.2863305337,1.0,1.0554022917795673,3.3788741515585343,19.977737507145875,1.0,2.6272314633756717
2019-8,1.0,2727.272727272727,1.0,86178.01006176851,208.33333333333331,8213.440792556094,1.0,5.305482961571352,1.6140591650651959,8.73722172600287,1.0,23624.13231776203
2019-9,1666.6666666666665,2666.666666666666,1.0,7659.510569307422,4.402799595576039,17375.683067692942,1.0,0.23853381583616856,0.6171034321761568,23.3772050265439,1.0,23.152071601798532
2019-10,1.0,140.84507042253523,1.0,1601.003627870907,289.84526600810256,4024.7883755021053,1.0,0.7225916546472466,0.32309872042700505,7.837004998474767,27866.528707139234,4.2843647458586815
2019-11,1.0,4159.6690983232265,1.0,454.54545454545445,17.409385083416613,1004.3895631758406,1.0,2.000990821180175,2.7395320702238135,5.739855894463595,1.0,17605.149510356452
2019-12,1.0,2117.6470588235297,1.0,8646.100723575786,4733.304567024022,734.9127793244353,1.0,5.491274985879179,1.3429114047787782,23.97773643527957,1.0,12650.863222480126
2020-1,1.0,1538.4615384615386,1.0,134.29369618783008,1.0,27556.055365515855,1.0,1.8552754067604311,2.2700711367213877,2.5739625106190935,17.640223076049168,1250.4953365439185
2020-2,1.0,47243.30341080543,1.0,775.7160125621746,1432.5332154322557,5318.118448624158,1.0,33.49596726160789,1.2699874083144993,3353.156039574231,1.0,2337.7041192756806
2020-3,1.0,1066.6666666666667,1.0,1028.5714285714284,178.57142857142856,99224.05889136055,1.0,2.4697860517739483,1565.5199415100742,15.34758368225092,1.0,445.0753272726915
2020-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-5,1.0,1.0,1.0,66.66666666666666,1.0,1.0,1.0,306.20408088639306,1.1533993558121545,95.78455983532392,1.0,1.0
2020-6,1.0,234.45338622747846,1.0,3333.333333333333,1250.0,3114.0584892822167,1.0,9485.314137303798,696.5508166544292,42.047754879301166,1.0,2285.2681234633537
2020-7,1.0,2666.666666666666,1.0,26075.603389194017,909.0909090909091,1.2783893449964345,1.0,8542.623730237863,4.494269054341837,28.228843974500943,1.0,1.0
2020-8,1.0,4329.723242063161,1.0,312.55316175622994,12.989169727716021,2915.2467434608043,1.0,2.3310442713940582,1.5217402749232019,13.515165499746704,17.630633043836045,33.06334112265236
2020-9,1.0,2571.4285714285706,1.0,31.91190328742764,1333.333333333333,3667.877062123803,1.0,4810.267844095783,1.7937452430573744,20.492385202671556,1.0,30.216545392770634
2020-10,1.0,5104.166666666666,1.0,7000.0,1.0,80768.26036109385,1.0,327.05921811040173,289.9454192096569,29.940141548110795,1.0,320.4513705344521
2020-11,1.0,3214.2857142857133,2.876373678603338,17079.7283939681,2505.112720612331,1.9695759185920556,1.0,0.9780102395767034,186.78613533835434,13.373554019919306,1.0,592.1663530889391
2020-12,1.0,9252.49665881289,2.7549140612279572,92529.644968576,1.0,926.3044295396193,1.0,3667.531050491229,7484.321084134742,4901.786128001633,1.0,1054.6370837075524
2021-1,1.0,26444.63674167666,1.0,13743.097044072148,1.0,1152.314533512639,1.0,0.9766692283543296,1.7392799784983786,18.22006907288059,1.0,140899.4880277544
2021-2,18.66219995136123,233.91812865497073,1.0,32296.859955282518,59.27640128938144,2424.4060285537907,0.23117796502858762,4.24994934130705,2.4163411781465074,188276.5827248097,1250.0,1334.5046968298966
2021-3,333.33333333333326,24192.30039212941,1.0,39839.71552714362,1.0,403.62674252955355,1.0,14549.78371747131,0.9707399965596695,67381.97345426504,31.105616156316678,1.4859415057214287
2021-4,2.666081902048374,33236.08508753023,1.0,40.08504789988061,1.0,2130.542789958177,1.0,5.627570131143226,2.291093396791278,19.942176454996144,1.0,13.06106411907178
2021-5,1.0,3333.333333333333,1.0,49.61381391046402,1.0,79.36507936507935,1.0,0.24475988773679816,3.7640272735661577,4637.739892823303,1.0,1.0
2021-6,1.0,181.81818181818184,1.0,232.55813953488374,1541.245327451569,9.6679396831954,1.0,0.7947888319690215,2.67604021943094,10.974304553795749,45.84705063006027,22.84739788677464
2021-7,1.0,1428.571428571428,1.0,1430.5644180783709,1.0,2727.3176590060134,1.0,10981.00720341911,1.272095179040328,1073.4955429130919,36.42730822141445,1.0
