Date,East,West 1,West 2,South,North,Overseas,Amazon
2017,0.6655,0.7235,0.6293333333333333,0.6941111111111111,0.6993333333333333,1e-05,1e-05
2018,0.668,0.7264999999999999,0.6313333333333334,0.6965555555555557,0.7016666666666667,1e-05,1e-05
2019,0.67125,0.73,0.6343333333333333,0.6999999999999998,0.7053333333333334,1e-05,1e-05
2020,0.6762854686867543,0.7349677915170941,0.6431409995278182,0.7063442655885416,0.7114100685773398,1e-05,1e-05
2021,0.6808710714547062,0.7395830462558235,0.6505720407889299,0.711805099539661,0.7168056885237754,1e-05,1e-05
