Date,East,West 1,West 2,South,North,Overseas,Amazon
2017,180932.25,1241046.5,959493.3333333334,415905.55555555556,851491.6666666666,1,1
2018,209017.625,1366861.5,1079154.6666666667,464633.1111111111,985107.1666666666,1,1
2019,222029.11003052472,1457271.065447896,1154327.3785403734,495178.20973267994,1048165.5065260675,1,1
2020,238385.22526559976,1555906.0914467229,1239774.368029911,529860.1839880435,1126572.3768820048,1,1
2021,254741.34050067488,1654541.1174455495,1325221.357519449,564542.1582434071,1204979.2472379424,1,1
