Currency Id,Name,ISO Code,Symbol,Is Home Currency,Is Active,Prefix Symbol,Decimal Seperator,Decimals,Exchange Rate,Created by ID,Modified by ID,Created Time,Modified Time
zcrm_1920545000000786086,Indian Rupee - INR,INR,₹,true,true,true,|,2,1.000000000,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:35:09,2018-03-03 16:01:32
zcrm_1920545000000791076,US Dollar - USD,USD,$,false,true,true,|,2,0.014925373,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:37:17,2017-04-12 17:37:17
zcrm_1920545000015806001,Canadian Dollar - CAD,CAD,CA$,false,true,true,|,2,1.000000000,zcrm_1920545000000097003,zcrm_1920545000000097003,2019-02-14 15:45:22,2019-02-14 15:45:22
zcrm_1920545000017390037,South Korean Won - KRW,KRW,₩,false,true,true,|,3,16.393442623,zcrm_1920545000000097003,zcrm_1920545000000097003,2019-04-10 13:06:37,2019-04-10 13:06:37
zcrm_1920545000020820022,Nepalese Rupee - NPR,NPR,NPRs,false,true,true,|,2,1.587301587,zcrm_1920545000000097003,zcrm_1920545000000097003,2019-08-15 14:51:24,2019-08-15 14:51:24
zcrm_1920545000020919016,Japanese Yen - JPY,JPY,¥,false,true,true,|,0,1.000000000,zcrm_1920545000000097003,zcrm_1920545000000097003,2019-08-21 14:16:15,2019-08-21 14:16:15
zcrm_1920545000038980032,Malaysian Ringgit - MYR,MYR,RM,false,true,true,|,3,1.000000000,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-06-28 15:08:47,2021-06-28 15:08:47
zcrm_1920545000038999004,Euro - EUR,EUR,€,false,true,true,|,2,1.000000000,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-06-28 15:09:43,2021-06-28 15:09:43
