,Year,Month,Client,Region,Category,Net,Industry Fin
66,2017,September,Mr Vipul/NEE Component Private Limited,West 1,Other,410718.74,Others_Others Corporate
67,2017,September,Nitro Gym,West 1,Fitness Club,357151.78,Fitness
68,2017,September,Anytime Fitness,North,Fitness Club,241071.43,Fitness
69,2017,September,Gethin Gym ,West 1,Fitness Club,1098214.28,Fitness
70,2017,September,Thriveni Earthmovers,East,Other,410718.75,Others_Others Corporate
71,2017,September,The Eatwell Plate,North,Diet Clinic,468728.57,Clinic
72,2017,September,Mr. Akash Mundada(Bal Kakaji Fitness),West 1,Fitness Club,410718.74,Fitness
73,2017,October,Dr Mahendra ,West 1,Hospital,357500.0,Hospital
74,2017,October,Next Level Fitness,North,Fitness Club,410553.57,Fitness
75,2017,October,L & K Wellness Pvt Ltd,West 1,Wellness Centre,1118214.92,Others_Aesthetic
76,2017,October,Pradip Pathak / Reliance Ports and Terminals Ltd (Engineering & Construction Div),West 1,Other,468000.0,Others_Others Corporate
77,2017,October,Smart Metabolic / Max Smart Super Specialist Hospital,North,Wellness Centre,428464.29,Hospital
78,2017,October,Rohan / Moveza Fitness Pvt Ltd,South,Fitness Club,410000.0,Fitness
79,2017,October,Yashoda Hospital,South,Hospital,803568.0,Hospital
80,2017,October,Anytime Spar Fitness,East,Fitness Club,241071.43,Fitness
81,2017,October,Mysore Univercity,South,University,1460714.2,Academic
82,2017,October,Nakul Sohi,West 1,Other,18928.57,Others_Others Corporate
83,2017,November,R S Wellness,North,Wellness Centre,241071.43,Fitness
84,2017,November,Olympic Gold Quest,West 1,Other,241071.43,Others_Others Corporate
85,2017,November,Anytime Fit Zone,North,Fitness Club,410718.75,Fitness
86,2017,November,Veda Fitness,West 1,Fitness Club,1241071.42,Fitness
87,2017,November,Golds Gym Jorhat,East,Fitness Club,410718.75,Fitness
88,2017,November,M/s. Krypton Corp.,West 1,Fitness Club,392901.78,Fitness
89,2017,November,Anytime Fitness Jaipur,North,Fitness Club,410718.75,Fitness
90,2017,November,Jammu Hospital,North,Hospital,1428571.42,Hospital
91,2017,November,Gympac Fitness Systems Pvt Ltd,South,Fitness Club,16964.29,Fitness
92,2017,November,BPV Fitness and Gym Club LLP,East,Fitness Club,464285.71,Fitness
93,2017,November,Anytime Fitness Jaipur,North,Fitness Club,651790.18,Fitness
94,2017,November,Hero Motocorp Ltd.,North,Other,425000.0,Others_Others Corporate
95,2017,December,RNFS FITNESS AND SPA CENTRE LLP,East,Fitness Club,410718.75,Fitness
96,2017,December,Dwarika Healthcare,West 2,Healthcare Centre,366250.0,Hospital
97,2017,December,Telangana Police Academy,South,Police Academy,23500.0,Academic
98,2017,December,Aum Care LLP,West 1,Other,241071.43,Others_Others Corporate
99,2017,December,Grey Anatomy (OPC) private limited (,North,Other,406250.0,Others_Others Corporate
100,2017,December,Ozone Integrated Healthcare Centre,South,Healthcare Centre,429000.0,Hospital
101,2017,December,SUKAVAN & KUNAL,South,Other,437500.0,Others_Others Corporate
102,2017,December,Altamed Clinic LLP,South,Wellness Clinic,232142.86,Clinic
103,2017,December,Fitness First Noida,North,Fitness ,430553.57,Fitness
104,2018,January,Body Line,West 2,Fitness ,374999.95,Fitness
105,2018,January,Bodyline A Unisex Fitness Hub,South,Fitness ,241071.43,Fitness
106,2018,January,Healthqor Fitness Center,South,Fitness ,437500.0,Fitness
107,2018,January,Jogeshwari Education Trust,West 1,Education,419510.0,Academic
108,2018,January,Vinayak Solitaire Allahabad,North,Corporate,7627.12,Others_Others Corporate
109,2018,January,Mr.Yogendra Patel,West 2,Home Health,0.0,Others_Individual
110,2018,January,Talwalkars Better Value Fitness,West 2,Fitness ,17408.32,Fitness
111,2018,January,Inspire Gym,West 1,Fitness ,625625.0,Fitness
112,2018,January,D Arc Fitness,South,Fitness ,609375.0,Fitness
113,2018,January,Vibes Healthcare Limited,West 1,Wellness,348214.28,Others_Aesthetic
114,2018,January,Self- Dietian,West 1,Nutrition,16964.28,Clinic
115,2018,January,FITNOHOLIC,South,Fitness ,448500.0,Fitness
116,2018,January,UMB FITNESS PVT. LTD.,South,Fitness ,406250.0,Fitness
117,2018,January,FIFTH GEAR FITNESS LLP.,West 2,Fitness ,205352.86,Fitness
118,2018,January,VLCC WELNESS CENTRE,East,Wellness,63420.0,Others_Aesthetic
119,2018,January,Danz & Aerobic Fitness Studio,South,Fitness ,17857.14,Fitness
120,2018,January,ToneFitness,South,Fitness ,241071.43,Fitness
121,2018,January,MY GYM,South,Fitness ,241071.43,Fitness
122,2018,January,The Health Fitness Club ,West 1,Fitness ,348214.28,Fitness
123,2018,January,Vibes Healthcare Limited,West 1,Wellness,348214.28,Others_Aesthetic
124,2018,January,Damodar,South,Home Health,0.0,Others_Individual
