Record Id,Year,Quarter,Forecast Name,Forecast Owner ID,Commit Amount,Best Case Amount,Start Date,End Date,Created by ID,Modified by ID,Created Time,Modified Time,Currency,Exchange Rate,Target,Territory,Parent Forecast,Target excluding child,Target achieved excluding child,Target achieved percentage excluding child,Pipeline excluding child,Target Achieved,Target Achieved Percentage,Deal Pipeline,Last Computed Time,Target Achieved Count,Pipeline Count
zcrm_1920545000035418109,2021,1,Q1-2021,zcrm_1920545000001530001,0.0,0.0,2021-01-01,2021-03-31,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-03-15 11:25:41,2021-03-15 11:30:29,INR,1.000000000,3000000.0,1920545000022219003,true,3000000.0,3124967.0,104.2,0.0,3124967.0,104.2,0.0,2021-07-15 08:09:40,11,4
zcrm_1920545000035418111,2021,1,Q1-2021,zcrm_1920545000001530001,0.0,0.0,2021-01-01,2021-03-31,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-03-15 11:25:41,2021-03-15 11:25:41,INR,1.000000000,0.0,1920545000022219003,false,0.0,0.0,0.0,0.0,2794378.0,0.0,0.0,2021-07-15 08:09:40,10,4
zcrm_1920545000036210001,2021,2,Q2-2021,zcrm_1920545000000097003,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,2.37E7,1920545000000097337,true,700000.0,0.0,0.0,180000.0,8927535.0,37.7,1.42418E7,2021-07-12 07:02:06,26,76
zcrm_1920545000036210003,2021,2,Q2-2021,zcrm_1920545000003466001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,8750000.0,1920545000001666003,true,8750000.0,1012857.0,11.6,1.06275E7,1012857.0,11.6,1.06275E7,2021-07-12 07:02:06,2,51
zcrm_1920545000036210005,2021,2,Q2-2021,zcrm_1920545000003466001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,0.0,1920545000001666003,false,0.0,0.0,0.0,0.0,1012857.0,0.0,7451900.0,2021-07-12 07:02:06,2,37
zcrm_1920545000036210007,2021,2,Q2-2021,zcrm_1920545000011182001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,,1920545000001666003,false,0.0,0.0,0.0,0.0,0.0,0.0,3175600.0,2021-07-12 07:02:06,0,14
zcrm_1920545000036210009,2021,2,Q2-2021,zcrm_1920545000000097003,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,4750000.0,1920545000001666011,true,4750000.0,3270739.0,68.9,0.0,3270739.0,68.9,0.0,2021-07-12 07:02:06,5,1
zcrm_1920545000036210011,2021,2,Q2-2021,zcrm_1920545000000097003,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,0.0,1920545000001666011,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-12 07:02:06,0,0
zcrm_1920545000036210013,2021,2,Q2-2021,zcrm_1920545000001530001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,,1920545000001666011,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-12 07:02:06,0,0
zcrm_1920545000036210015,2021,2,Q2-2021,zcrm_1920545000011122001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,,1920545000001666011,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-12 07:02:06,0,0
zcrm_1920545000036210017,2021,2,Q2-2021,zcrm_1920545000000097003,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,1750000.0,1920545000002567031,true,1750000.0,354616.0,20.3,2300800.0,354616.0,20.3,2300800.0,2021-07-12 07:02:06,3,8
zcrm_1920545000036210019,2021,2,Q2-2021,zcrm_1920545000000097003,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,0.0,1920545000002567031,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-12 07:02:06,0,0
zcrm_1920545000036210021,2021,2,Q2-2021,zcrm_1920545000012077001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,,1920545000002567031,false,0.0,0.0,0.0,0.0,354616.0,0.0,2018800.0,2021-07-12 07:02:06,3,7
