Record Id,Product Owner ID,Product Name,Product Code,Vendor ID,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created by ID,Modified by ID,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler Id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout ID,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
zcrm_1920545000006882679,zcrm_1920545000000097003,Shoulder Bracket R 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,1200.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882680,zcrm_1920545000000097003,Shoulder Cap 230/430(UL),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,1700.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882681,zcrm_1920545000000097003,Shoulder Cap 370,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,1000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882682,zcrm_1920545000000097003,Shoulder Cap 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,2300.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882683,zcrm_1920545000000097003,Shoulder Front 230/430(UL),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,1000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882684,zcrm_1920545000000097003,Shoulder Joint R 370,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,900.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882685,zcrm_1920545000000097003,Speaker 770/570/470/370/270/,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882686,zcrm_1920545000000097003,Stabilizer_All Devices,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882687,zcrm_1920545000000097003,Stand 120,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,8000.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882688,zcrm_1920545000000097003,Stand 370,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,35700.0,0.0,,Box,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882689,zcrm_1920545000000097003,Stand Hinge Washer 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,7000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882690,zcrm_1920545000000097003,Stand Low Cap L 230/430(UL),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,800.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882691,zcrm_1920545000000097003,Stand Low Cap R 230/430(UL),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,800.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882692,zcrm_1920545000000097003,Stand Low Fix Knob 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,900.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882693,zcrm_1920545000000097003,Stand Low Hinge Cap 230/430(UL),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,1200.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
