일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-12-01,15,34,47,86,11
2020-12-02,11,28,39,83,8
2020-12-03,14,33,46,98,9
2020-12-04,10,28,40,79,9
2020-12-05,13,33,48,85,10
2020-12-06,14,33,49,84,14
2020-12-07,12,36,41,100,17
2020-12-08,14,36,42,91,10
2020-12-09,14,37,46,87,9
2020-12-10,9,32,42,85,8
2020-12-11,13,31,47,88,10
2020-12-12,14,33,44,98,12
2020-12-13,13,39,48,94,11
2020-12-14,13,31,45,88,11
2020-12-15,17,37,50,95,11
2020-12-16,12,36,49,83,17
2020-12-17,14,36,42,93,11
2020-12-18,13,30,40,87,12
2020-12-19,14,32,35,83,10
2020-12-20,13,24,47,86,19
2020-12-21,14,35,37,91,15
2020-12-22,15,34,43,85,10
2020-12-23,17,33,33,85,12
2020-12-24,13,37,37,80,7
2020-12-25,9,26,41,80,5
2020-12-26,13,26,35,89,9
2020-12-27,15,34,39,94,13
2020-12-28,15,39,40,97,11
2020-12-29,11,34,40,89,8
2020-12-30,11,25,41,79,8
2020-12-31,11,29,32,86,6
