일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-09-01,12,38,51,89,4
2020-09-02,14,36,51,93,8
2020-09-03,15,31,44,96,6
2020-09-04,14,34,51,88,9
2020-09-05,13,30,47,86,8
2020-09-06,14,30,47,86,9
2020-09-07,16,33,49,93,10
2020-09-08,13,28,47,92,12
2020-09-09,19,28,50,90,7
2020-09-10,16,34,47,83,7
2020-09-11,17,32,46,75,11
2020-09-12,17,33,42,79,9
2020-09-13,15,34,57,92,10
2020-09-14,16,34,47,97,9
2020-09-15,12,34,52,92,7
2020-09-16,14,33,50,85,4
2020-09-17,16,39,46,100,8
2020-09-18,15,32,45,91,14
2020-09-19,14,32,43,80,7
2020-09-20,12,27,54,84,5
2020-09-21,16,30,44,91,12
2020-09-22,12,26,47,79,10
2020-09-23,12,28,45,81,11
2020-09-24,17,32,42,83,10
2020-09-25,14,34,39,78,10
2020-09-26,12,30,44,89,15
2020-09-27,13,30,44,89,11
2020-09-28,12,35,40,84,11
2020-09-29,19,37,43,79,8
2020-09-30,13,37,46,90,8
