일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-06-01,15,26,49,82,4
2020-06-02,15,31,53,77,4
2020-06-03,15,30,46,71,5
2020-06-04,14,35,48,73,4
2020-06-05,13,34,51,82,4
2020-06-06,21,34,48,84,7
2020-06-07,12,40,58,84,5
2020-06-08,19,30,52,88,5
2020-06-09,13,36,57,85,5
2020-06-10,15,32,54,80,6
2020-06-11,15,31,49,84,7
2020-06-12,20,35,47,73,4
2020-06-13,19,33,46,100,4
2020-06-14,13,33,42,78,6
2020-06-15,19,27,46,73,4
2020-06-16,13,31,47,70,4
2020-06-17,13,32,51,76,2
2020-06-18,16,32,43,76,6
2020-06-19,19,37,41,71,4
2020-06-20,14,34,47,79,5
2020-06-21,12,26,44,66,7
2020-06-22,16,26,52,83,4
2020-06-23,13,29,53,79,4
2020-06-24,13,28,55,75,5
2020-06-25,14,31,46,85,5
2020-06-26,16,33,50,74,4
2020-06-27,14,31,57,88,4
2020-06-28,15,43,63,87,5
2020-06-29,12,35,56,88,5
2020-06-30,13,34,51,75,4
2020-07-01,16,27,46,89,7
