일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-05-01,11,34,44,64,3
2020-05-02,12,27,46,70,7
2020-05-03,15,30,42,59,4
2020-05-04,12,31,38,72,5
2020-05-05,9,28,41,77,5
2020-05-06,9,28,44,63,4
2020-05-07,15,30,50,67,3
2020-05-08,12,29,41,63,6
2020-05-09,15,32,47,70,5
2020-05-10,15,29,43,61,6
2020-05-11,15,31,45,68,4
2020-05-12,15,24,42,64,4
2020-05-13,9,32,43,62,5
2020-05-14,15,37,43,73,2
2020-05-15,15,34,45,66,7
2020-05-16,16,34,43,74,5
2020-05-17,17,32,44,77,6
2020-05-18,13,30,48,67,4
2020-05-19,11,39,43,69,6
2020-05-20,14,24,46,70,6
2020-05-21,8,30,44,75,4
2020-05-22,14,28,41,79,5
2020-05-23,14,31,42,75,6
2020-05-24,18,33,45,71,4
2020-05-25,14,36,54,66,6
2020-05-26,18,30,48,79,4
2020-05-27,17,30,54,86,5
2020-05-28,13,30,53,83,3
2020-05-29,11,27,39,69,4
2020-05-30,14,29,46,86,6
2020-05-31,15,30,46,100,6
