일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-08-01,9,23,32,66,5
2020-08-02,11,24,30,66,5
2020-08-03,10,20,31,66,4
2020-08-04,12,26,39,76,5
2020-08-05,11,23,37,100,6
2020-08-06,14,25,31,88,5
2020-08-07,9,27,30,76,7
2020-08-08,11,22,37,80,4
2020-08-09,12,25,33,76,7
2020-08-10,11,28,33,81,7
2020-08-11,9,23,26,62,4
2020-08-12,10,27,32,65,8
2020-08-13,11,30,31,69,6
2020-08-14,11,23,33,66,7
2020-08-15,9,25,28,75,4
2020-08-16,14,25,36,77,11
2020-08-17,13,27,38,71,8
2020-08-18,12,24,34,75,5
2020-08-19,12,29,36,76,8
2020-08-20,12,30,35,61,7
2020-08-21,8,24,34,71,5
2020-08-22,12,21,29,74,5
2020-08-23,10,26,34,67,9
2020-08-24,11,28,31,72,9
2020-08-25,11,26,27,61,6
2020-08-26,12,29,30,64,5
2020-08-27,11,27,32,66,7
2020-08-28,13,30,30,71,7
2020-08-29,10,29,39,76,5
2020-08-30,7,26,42,75,10
