일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-02-01,13,27,29,84,3
2020-02-02,9,25,34,72,3
2020-02-03,13,32,32,84,4
2020-02-04,13,28,28,85,2
2020-02-05,12,23,25,83,2
2020-02-06,14,30,29,86,2
2020-02-07,12,26,24,73,3
2020-02-08,10,19,28,88,3
2020-02-09,13,25,25,87,2
2020-02-10,11,26,31,89,2
2020-02-11,13,24,27,69,3
2020-02-12,15,26,38,89,5
2020-02-13,10,22,26,82,5
2020-02-14,14,25,26,77,3
2020-02-15,14,25,27,91,2
2020-02-16,12,20,30,99,5
2020-02-17,13,31,40,88,2
2020-02-18,11,26,35,94,4
2020-02-19,14,29,31,96,1
2020-02-20,12,24,28,86,2
2020-02-21,12,27,25,86,3
2020-02-22,16,30,27,88,2
2020-02-23,14,31,30,100,3
2020-02-24,12,34,32,84,3
2020-02-25,14,29,29,88,5
2020-02-26,13,25,27,89,3
2020-02-27,16,29,35,85,2
2020-02-28,13,23,34,78,5
2020-02-29,12,27,29,89,2
