일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-04-01,15,22,28,85,3
2020-04-02,13,40,37,72,5
2020-04-03,18,33,32,82,5
2020-04-04,12,34,37,88,5
2020-04-05,12,33,46,82,4
2020-04-06,15,40,43,82,4
2020-04-07,12,35,42,100,5
2020-04-08,14,39,35,93,7
2020-04-09,16,42,45,87,6
2020-04-10,16,40,40,86,6
2020-04-11,12,42,51,95,5
2020-04-12,12,44,45,86,5
2020-04-13,12,37,44,84,3
2020-04-14,14,35,45,78,6
2020-04-15,14,41,49,82,6
2020-04-16,17,38,58,73,6
2020-04-17,12,43,48,94,5
2020-04-18,18,46,48,84,4
2020-04-19,17,42,47,87,12
2020-04-20,13,43,49,84,6
2020-04-21,19,38,60,82,5
2020-04-22,19,41,49,79,4
2020-04-23,23,40,52,87,5
2020-04-24,15,39,58,76,10
2020-04-25,13,40,44,91,10
2020-04-26,12,41,63,87,7
2020-04-27,15,46,55,66,7
2020-04-28,21,36,51,74,8
2020-04-29,16,41,49,79,6
2020-04-30,15,42,47,73,5
2020-05-01,14,45,67,79,7
