일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-07-01,18,32,49,92,6
2020-07-02,14,29,52,76,6
2020-07-03,14,34,50,83,5
2020-07-04,16,34,55,87,5
2020-07-05,16,33,49,78,8
2020-07-06,17,31,54,90,8
2020-07-07,13,32,68,76,4
2020-07-08,14,31,59,77,4
2020-07-09,18,36,59,82,6
2020-07-10,16,38,47,77,4
2020-07-11,18,33,57,86,5
2020-07-12,15,32,63,81,8
2020-07-13,18,31,54,86,6
2020-07-14,19,33,48,78,8
2020-07-15,15,37,46,74,6
2020-07-16,16,36,45,78,8
2020-07-17,19,39,52,68,5
2020-07-18,18,31,47,84,9
2020-07-19,14,34,54,85,9
2020-07-20,17,42,46,74,4
2020-07-21,14,40,57,79,4
2020-07-22,14,30,46,81,9
2020-07-23,16,27,40,92,8
2020-07-24,12,37,42,73,8
2020-07-25,18,32,52,81,8
2020-07-26,15,36,59,93,6
2020-07-27,21,49,47,87,12
2020-07-28,11,39,40,83,6
2020-07-29,17,39,41,100,10
2020-07-30,16,34,34,99,5
2020-07-31,12,36,41,98,7
